"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2021",,,,,,"Data collected as of May 12, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,675,0.14,32305,10.26,10580,3.36,38212,12.13,159135,50.54,6581,2.09,1621,0.51,936,0.3,21277,6.76,1559,0.5,2047,0.65,39,0.06,2125,3.06,117,0.25,153,0.32,279,0.59,10,0.02,37,0.08
Hokkaido,49,0.22,161,1.15,567,4.05,2959,21.14,4257,30.41,376,2.69,10,0.07,23,0.16,556,3.97,7,0.05,48,0.34,1,0.03,48,1.66,3,0.13,-,-,9,0.39,-,-,2,0.09
Aomori,4,0.06,426,10.14,123,2.93,302,7.19,2432,57.9,75,1.79,6,0.14,8,0.19,232,5.52,1,0.02,11,0.26,-,-,14,1.27,-,-,2,0.33,6,1,-,-,-,-
Iwate,3,0.05,1013,25.33,96,2.4,1081,27.03,2270,56.75,121,3.03,4,0.1,10,0.25,331,8.28,4,0.1,24,0.6,-,-,55,3.93,2,0.11,2,0.11,11,0.58,-,-,2,0.11
Miyagi,10,0.11,266,4.59,210,3.62,443,7.64,2304,39.72,195,3.36,20,0.34,15,0.26,474,8.17,2,0.03,51,0.88,-,-,16,1.33,2,0.17,-,-,18,1.5,-,-,1,0.08
Akita,-,-,301,8.85,64,1.88,345,10.15,1118,32.88,87,2.56,6,0.18,11,0.32,144,4.24,3,0.09,4,0.12,-,-,7,1,-,-,-,-,-,-,-,-,2,0.25
Yamagata,66,1.47,202,6.97,155,5.34,675,23.28,1483,51.14,37,1.28,9,0.31,11,0.38,262,9.03,9,0.31,18,0.62,-,-,19,2.38,2,0.2,-,-,1,0.1,-,-,1,0.1
Fukushima,15,0.18,203,4.06,221,4.42,830,16.6,2449,48.98,103,2.06,13,0.26,15,0.3,488,9.76,3,0.06,26,0.52,1,0.08,66,5.08,4,0.57,-,-,1,0.14,-,-,-,-
Ibaraki,9,0.08,23,0.31,161,2.15,814,10.85,2324,30.99,112,1.49,28,0.37,18,0.24,343,4.57,38,0.51,40,0.53,-,-,80,4.71,-,-,2,0.17,38,3.17,-,-,-,-
Tochigi,7,0.09,294,6.13,82,1.71,341,7.1,1654,34.46,73,1.52,20,0.42,21,0.44,395,8.23,13,0.27,36,0.75,1,0.08,66,5.5,2,0.29,9,1.29,16,2.29,-,-,-,-
