"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2015",,,,,,"Data collected as of December 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1158675,235.26,104060,33.07,66881,21.25,376195,119.54,907719,288.44,70926,22.54,380833,121.01,92625,29.43,81699,25.96,2569,0.82,97958,31.13,73555,23.37,466,0.68,23582,34.33,424,0.89,1016,2.13,9386,19.72,385,0.81,4207,8.84
Hokkaido,42068,186.14,6389,44.99,4989,35.13,24729,174.15,20877,147.02,3597,25.33,14424,101.58,4680,32.96,2322,16.35,79,0.56,3458,24.35,4855,34.19,8,0.3,575,21.3,9,0.41,13,0.59,471,21.41,2,0.09,405,18.41
Aomori,14806,227.78,1177,28.02,636,15.14,2943,70.07,7212,171.71,714,17,5999,142.83,956,22.76,951,22.64,9,0.21,684,16.29,281,6.69,-,-,260,23.64,11,1.83,13,2.17,206,34.33,-,-,121,20.17
Iwate,15497,242.14,1483,38.03,529,13.56,5955,152.69,10257,263,938,24.05,4663,119.56,840,21.54,916,23.49,15,0.38,905,23.21,285,7.31,4,0.29,247,17.64,5,0.26,8,0.42,282,14.84,4,0.21,151,7.95
Miyagi,19734,209.94,2333,40.22,1142,19.69,7348,126.69,18199,313.78,1595,27.5,11048,190.48,1682,29,1807,31.16,2,0.03,1917,33.05,359,6.19,4,0.33,183,15.25,8,0.67,5,0.42,383,31.92,1,0.08,79,6.58
Akita,13438,253.55,830,24.41,582,17.12,2227,65.5,5590,164.41,572,16.82,2638,77.59,859,25.26,418,12.29,4,0.12,469,13.79,350,10.29,10,1.43,110,15.71,1,0.13,-,-,173,21.63,-,-,75,9.38
Yamagata,10095,214.79,1835,63.28,1091,37.62,6069,209.28,10426,359.52,840,28.97,6098,210.28,1310,45.17,1016,35.03,16,0.55,1191,41.07,1272,43.86,-,-,57,8.14,9,0.9,9,0.9,48,4.8,16,1.6,51,5.1
Fukushima,19211,252.78,3199,71.09,777,17.27,4815,107,10539,234.2,1164,25.87,7734,171.87,2214,49.2,1481,32.91,24,0.53,1016,22.58,1036,23.02,-,-,392,32.67,5,0.71,11,1.57,191,27.29,3,0.43,131,18.71
Ibaraki,22658,188.82,1668,22.24,1253,16.71,8209,109.45,20416,272.21,1644,21.92,6280,83.73,2549,33.99,1326,17.68,39,0.52,1638,21.84,2113,28.17,14,0.82,866,50.94,3,0.23,6,0.46,141,10.85,1,0.08,42,3.23
