"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2016",,,,,,"Data collected as of January 6, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,35297,410.43,1534,28.94,491,9.26,6447,121.64,17301,326.43,960,18.11,873,16.47,1189,22.43,1001,18.89,125,2.36,2791,52.66,3470,65.47,2,0.18,502,45.64,4,0.36,5,0.45,470,42.73,-,-,131,11.91
Gifu,34812,404.79,1074,20.65,771,14.83,3128,60.15,11146,214.35,550,10.58,943,18.13,366,7.04,784,15.08,39,0.75,1121,21.56,1685,32.4,2,0.18,280,25.45,1,0.2,27,5.4,595,119,-,-,89,17.8
Shizuoka,47213,339.66,2350,26.4,1591,17.88,15917,178.84,29725,333.99,1405,15.79,1597,17.94,804,9.03,1855,20.84,40,0.45,3730,41.91,3709,41.67,8,0.38,541,25.76,6,0.67,30,3.33,587,65.22,55,6.11,22,2.44
Aichi,92550,474.62,4701,25.97,2619,14.47,16819,92.92,54301,300.01,2919,16.13,2542,14.04,2848,15.73,3462,19.13,113,0.62,5645,31.19,5212,28.8,17,0.5,1139,33.5,32,2.29,51,3.64,814,58.14,4,0.29,365,26.07
Mie,25018,347.47,1619,35.98,1132,25.16,3130,69.56,19110,424.67,678,15.07,474,10.53,1461,32.47,1125,25,35,0.78,2336,51.91,697,15.49,11,0.92,103,8.58,13,1.44,42,4.67,293,32.56,20,2.22,21,2.33
Shiga,16623,319.67,618,19.94,444,14.32,2207,71.19,11044,356.26,757,24.42,697,22.48,230,7.42,618,19.94,14,0.45,1572,50.71,1237,39.9,-,-,73,9.13,10,1.43,16,2.29,105,15,-,-,100,14.29
Kyoto,36632,297.82,1380,18.4,1471,19.61,4880,65.07,25262,336.83,1199,15.99,1849,24.65,773,10.31,1229,16.39,23,0.31,1973,26.31,3694,49.25,3,0.18,213,12.53,1,0.14,15,2.14,226,32.29,1,0.14,123,17.57
Osaka,96612,314.7,8539,42.7,5223,26.12,21595,107.98,74367,371.84,4248,21.24,2687,13.44,1998,9.99,4854,24.27,166,0.83,8563,42.82,14495,72.48,31,0.61,1452,28.47,29,1.71,59,3.47,1101,64.76,4,0.24,406,23.88
Hyogo,66749,335.42,4067,31.53,3023,23.43,9981,77.37,53792,416.99,2903,22.5,1475,11.43,1723,13.36,2679,20.77,102,0.79,4276,33.15,7799,60.46,15,0.44,706,20.76,33,2.54,50,3.85,508,39.08,1,0.08,200,15.38
Nara,16542,306.33,1325,38.97,776,22.82,2833,83.32,11653,342.74,556,16.35,410,12.06,852,25.06,905,26.62,14,0.41,1092,32.12,2584,76,4,0.44,339,37.67,17,2.83,14,2.33,322,53.67,1,0.17,99,16.5
Wakayama,12152,243.04,1174,37.87,605,19.52,967,31.19,6522,210.39,541,17.45,160,5.16,821,26.48,744,24,19,0.61,1347,43.45,1941,62.61,7,1.75,56,14,3,0.27,30,2.73,205,18.64,5,0.45,99,9
Tottori,8087,278.86,750,39.47,584,30.74,4504,237.05,6956,366.11,335,17.63,242,12.74,584,30.74,429,22.58,23,1.21,868,45.68,651,34.26,12,3,267,66.75,7,1.4,15,3,194,38.8,2,0.4,137,27.4
Shimane,8154,214.58,1040,45.22,1202,52.26,2737,119,10396,452,331,14.39,564,24.52,757,32.91,732,31.83,15,0.65,531,23.09,1125,48.91,-,-,78,26,2,0.25,41,5.13,192,24,2,0.25,240,30
Okayama,24219,288.32,1261,23.35,842,15.59,2792,51.7,20438,378.48,800,14.81,960,17.78,706,13.07,1030,19.07,22,0.41,1700,31.48,3051,56.5,7,0.58,206,17.17,6,1.2,19,3.8,73,14.6,1,0.2,25,5
Hiroshima,39042,342.47,2282,32.14,2172,30.59,7128,100.39,29845,420.35,1441,20.3,876,12.34,1905,26.83,1492,21.01,117,1.65,1668,23.49,2507,35.31,12,0.67,834,46.33,9,0.43,11,0.52,467,22.24,3,0.14,381,18.14
Yamaguchi,26018,382.62,2461,51.27,926,19.29,6660,138.75,17278,359.96,702,14.63,419,8.73,1498,31.21,1307,27.23,40,0.83,1410,29.38,2346,48.88,2,0.25,194,24.25,12,1.33,7,0.78,393,43.67,-,-,112,12.44
Tokushima,9808,265.08,1976,85.91,448,19.48,1347,58.57,9708,422.09,300,13.04,332,14.43,343,14.91,798,34.7,30,1.3,876,38.09,1399,60.83,1,0.25,30,7.5,2,0.29,3,0.43,57,8.14,1,0.14,58,8.29
Kagawa,14820,315.32,941,33.61,767,27.39,2410,86.07,11640,415.71,386,13.79,482,17.21,561,20.04,684,24.43,41,1.46,1223,43.68,1374,49.07,4,0.8,94,18.8,6,1.2,11,2.2,261,52.2,2,0.4,152,30.4
Ehime,22836,374.36,1631,44.08,624,16.86,5135,138.78,17456,471.78,639,17.27,1135,30.68,977,26.41,1197,32.35,40,1.08,1936,52.32,1072,28.97,5,0.63,769,96.13,4,0.67,5,0.83,208,34.67,-,-,84,14
Kochi,15587,324.73,1174,39.13,715,23.83,2537,84.57,7183,239.43,574,19.13,359,11.97,359,11.97,525,17.5,124,4.13,792,26.4,964,32.13,-,-,21,7,10,1.25,34,4.25,324,40.5,34,4.25,242,30.25
Fukuoka,88762,448.29,6243,52.03,4312,35.93,18388,153.23,48868,407.23,3158,26.32,3746,31.22,2081,17.34,4273,35.61,184,1.53,3673,30.61,7916,65.97,20,0.77,1374,52.85,34,2.43,141,10.07,1418,101.29,2,0.14,28,2
Saga,13314,341.38,960,41.74,879,38.22,2130,92.61,5253,228.39,406,17.65,483,21,381,16.57,880,38.26,20,0.87,718,31.22,2319,100.83,-,-,212,70.67,2,0.33,17,2.83,193,32.17,-,-,63,10.5
Nagasaki,25026,362.7,1384,31.45,922,20.95,4691,106.61,10275,233.52,848,19.27,809,18.39,415,9.43,965,21.93,13,0.3,698,15.86,2556,58.09,4,0.5,849,106.13,3,0.25,59,4.92,459,38.25,-,-,54,4.5
Kumamoto,23862,302.05,2466,50.33,1019,20.8,3565,72.76,22767,464.63,892,18.2,2059,42.02,1453,29.65,1777,36.27,22,0.45,2013,41.08,4478,91.39,8,1,1004,125.5,11,0.73,88,5.87,407,27.13,3,0.2,178,11.87
Oita,21037,362.71,1642,45.61,866,24.06,6032,167.56,21193,588.69,1157,32.14,659,18.31,708,19.67,1373,38.14,61,1.69,1850,51.39,873,24.25,4,0.8,159,31.8,1,0.09,2,0.18,352,32,3,0.27,44,4
Miyazaki,21893,371.07,2047,56.86,1096,30.44,3973,110.36,19094,530.39,808,22.44,2373,65.92,1661,46.14,1671,46.42,18,0.5,1761,48.92,4329,120.25,8,1.6,926,185.2,2,0.29,29,4.14,306,43.71,-,-,84,12
Kagoshima,36766,395.33,2254,40.98,2037,37.04,6871,124.93,24078,437.78,1422,25.85,4136,75.2,925,16.82,1252,22.76,50,0.91,1445,26.27,5420,98.55,-,-,517,73.86,4,0.33,20,1.67,252,21,-,-,129,10.75
Okinawa,34061,587.26,1679,49.38,938,27.59,1617,47.56,7804,229.53,779,22.91,2627,77.26,138,4.06,480,14.12,227,6.68,384,11.29,2101,61.79,18,2,530,58.89,46,6.57,97,13.86,486,69.43,2,0.29,100,14.29
