"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2020",,,,,,"Data collected as of January 10, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,64553,13.93,649,0.22,659,0.22,2188,0.74,5285,1.8,941,0.32,345,0.12,488,0.17,283,0.1,41,0.01,67,0.02,3,0,158,0.25,3,0.01,3,0.01,74,0.16,-,-,8,0.02
Hokkaido,3624,18.12,100,0.85,28,0.24,118,1,132,1.12,37,0.31,4,0.03,37,0.31,4,0.03,2,0.02,-,-,-,-,5,0.18,-,-,1,0.05,5,0.24,-,-,-,-
Aomori,1014,15.6,21,0.5,3,0.07,24,0.57,77,1.83,7,0.17,23,0.55,3,0.07,6,0.14,-,-,1,0.02,-,-,2,0.18,-,-,-,-,-,-,-,-,-,-
Iwate,966,14.64,8,0.2,3,0.07,56,1.37,67,1.63,10,0.24,11,0.27,5,0.12,6,0.15,-,-,2,0.05,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
Miyagi,809,8.61,9,0.16,14,0.24,31,0.53,57,0.98,25,0.43,10,0.17,4,0.07,4,0.07,-,-,-,-,-,-,-,-,-,-,-,-,2,0.17,-,-,-,-
Akita,2441,45.2,14,0.4,5,0.14,18,0.51,40,1.14,3,0.09,3,0.09,-,-,4,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
Yamagata,317,9.32,3,0.13,17,0.71,27,1.13,25,1.04,26,1.08,-,-,2,0.08,3,0.13,1,0.04,-,-,-,-,1,0.13,-,-,-,-,1,0.1,-,-,-,-
Fukushima,1903,22.93,18,0.36,11,0.22,54,1.08,43,0.86,40,0.8,5,0.1,10,0.2,5,0.1,-,-,1,0.02,-,-,16,1.23,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,2997,24.98,22,0.29,16,0.21,81,1.08,210,2.8,78,1.04,6,0.08,9,0.12,8,0.11,1,0.01,3,0.04,-,-,9,0.53,-,-,-,-,4,0.33,-,-,-,-
