"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19th week, 2019",,,,,,"Data collected as of May 15, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Fukui,10747,307.06,336,15.27,364,16.55,1278,58.09,2815,127.95,204,9.27,18,0.82,147,6.68,148,6.73,11,0.5,46,2.09,-,-,71,23.67,6,1,4,0.67,5,0.83,-,-,38,6.33
Yamanashi,11232,280.8,65,2.83,37,1.61,623,27.09,2035,88.48,141,6.13,58,2.52,338,14.7,99,4.3,5,0.22,58,2.52,3,0.33,62,6.89,4,0.4,6,0.6,46,4.6,-,-,38,3.8
Nagano,28177,327.64,318,6,225,4.25,1433,27.04,5855,110.47,254,4.79,93,1.75,565,10.66,268,5.06,43,0.81,55,1.04,1,0.1,43,4.3,5,0.45,6,0.55,48,4.36,-,-,91,8.27
Gifu,25016,290.88,246,4.73,273,5.25,960,18.46,2991,57.52,162,3.12,46,0.88,249,4.79,258,4.96,11,0.21,21,0.4,3,0.27,54,4.91,-,-,-,-,11,2.2,-,-,74,14.8
Shizuoka,40469,291.14,439,4.93,340,3.82,2788,31.33,11097,124.69,296,3.33,123,1.38,925,10.39,450,5.06,27,0.3,160,1.8,-,-,202,9.18,4,0.4,13,1.3,17,1.7,1,0.1,17,1.7
Aichi,72351,371.03,1217,6.69,821,4.51,5325,29.26,17369,95.43,726,3.99,152,0.84,1240,6.81,936,5.14,55,0.3,187,1.03,4,0.11,221,6.31,6,0.4,9,0.6,54,3.6,1,0.07,317,21.13
Mie,17252,239.61,630,14,286,6.36,1605,35.67,5161,114.69,213,4.73,69,1.53,202,4.49,289,6.42,11,0.24,33,0.73,-,-,7,0.58,5,0.56,17,1.89,32,3.56,2,0.22,66,7.33
Shiga,13820,265.77,146,4.71,151,4.87,839,27.06,2967,95.71,150,4.84,56,1.81,119,3.84,134,4.32,28,0.9,32,1.03,-,-,19,2.38,4,0.57,1,0.14,3,0.43,1,0.14,20,2.86
Kyoto,31908,255.26,303,3.99,370,4.87,1930,25.39,8185,107.7,321,4.22,182,2.39,814,10.71,358,4.71,28,0.37,69,0.91,-,-,58,3.41,3,0.43,-,-,25,3.57,-,-,104,14.86
Osaka,72037,238.53,3239,16.36,1646,8.31,8208,41.45,23875,120.58,1174,5.93,1743,8.8,1801,9.1,1279,6.46,213,1.08,283,1.43,6,0.12,257,4.94,11,0.69,4,0.25,36,2.25,-,-,326,20.38
Hyogo,47937,242.11,1482,11.58,1026,8.02,3601,28.13,18209,142.26,805,6.29,519,4.05,1302,10.17,674,5.27,53,0.41,95,0.74,9,0.26,366,10.76,17,1.21,9,0.64,32,2.29,1,0.07,196,14
Nara,11404,207.35,358,10.53,268,7.88,1177,34.62,4237,124.62,151,4.44,150,4.41,93,2.74,198,5.82,16,0.47,22,0.65,-,-,120,12,3,0.5,4,0.67,28,4.67,-,-,70,11.67
Wakayama,8978,183.22,657,21.9,147,4.9,482,16.07,2907,96.9,83,2.77,39,1.3,384,12.8,173,5.77,9,0.3,22,0.73,13,3.25,33,8.25,1,0.09,6,0.55,40,3.64,1,0.09,82,7.45
Tottori,7214,248.76,149,7.84,162,8.53,1608,84.63,2680,141.05,133,7,411,21.63,57,3,128,6.74,15,0.79,14,0.74,1,0.2,89,17.8,1,0.2,2,0.4,7,1.4,-,-,11,2.2
Shimane,7375,194.08,162,7.04,165,7.17,916,39.83,2709,117.78,120,5.22,239,10.39,53,2.3,197,8.57,14,0.61,25,1.09,-,-,4,1.33,1,0.13,3,0.38,9,1.13,2,0.25,14,1.75
Okayama,19506,232.21,261,4.83,313,5.8,1705,31.57,7360,136.3,245,4.54,139,2.57,193,3.57,244,4.52,37,0.69,68,1.26,-,-,96,8,2,0.4,1,0.2,6,1.2,-,-,39,7.8
Hiroshima,26364,233.31,623,8.9,620,8.86,2663,38.04,9039,129.13,308,4.4,174,2.49,338,4.83,404,5.77,22,0.31,250,3.57,2,0.11,193,10.72,5,0.25,6,0.3,28,1.4,-,-,79,3.95
Yamaguchi,17305,262.2,1087,23.63,242,5.26,1812,39.39,4874,105.96,149,3.24,156,3.39,377,8.2,359,7.8,35,0.76,70,1.52,1,0.11,108,12,3,0.33,-,-,36,4,-,-,46,5.11
Tokushima,8065,217.97,580,25.22,118,5.13,325,14.13,3078,133.83,67,2.91,114,4.96,64,2.78,137,5.96,7,0.3,14,0.61,2,0.5,49,12.25,-,-,-,-,5,0.71,-,-,2,0.29
Kagawa,11164,237.53,226,8.07,225,8.04,972,34.71,3770,134.64,115,4.11,20,0.71,242,8.64,239,8.54,11,0.39,104,3.71,4,0.8,21,4.2,1,0.2,2,0.4,12,2.4,1,0.2,9,1.8
Ehime,14581,239.03,233,6.3,211,5.7,2184,59.03,6332,171.14,228,6.16,29,0.78,223,6.03,393,10.62,13,0.35,75,2.03,-,-,418,52.25,-,-,2,0.33,14,2.33,-,-,10,1.67
Kochi,13711,285.65,329,10.97,90,3,1314,43.8,2902,96.73,136,4.53,27,0.9,139,4.63,156,5.2,7,0.23,17,0.57,-,-,32,10.67,1,0.13,-,-,48,6,3,0.38,74,9.25
Fukuoka,65232,329.45,1719,14.33,1226,10.22,8229,68.58,17723,147.69,1101,9.18,956,7.97,2330,19.42,1273,10.61,158,1.32,469,3.91,9,0.35,514,19.77,11,0.73,8,0.53,30,2,-,-,83,5.53
Saga,10007,256.59,221,9.61,231,10.04,727,31.61,2064,89.74,163,7.09,281,12.22,318,13.83,264,11.48,25,1.09,15,0.65,-,-,33,8.25,1,0.17,2,0.33,15,2.5,-,-,57,9.5
Nagasaki,21388,309.97,189,4.4,470,10.93,1297,30.16,2894,67.3,207,4.81,302,7.02,295,6.86,314,7.3,14,0.33,66,1.53,4,0.5,122,15.25,3,0.25,11,0.92,27,2.25,-,-,22,1.83
Kumamoto,21637,273.89,526,10.73,410,8.37,1935,39.49,7218,147.31,315,6.43,623,12.71,244,4.98,639,13.04,166,3.39,95,1.94,1,0.11,366,40.67,3,0.2,5,0.33,13,0.87,-,-,145,9.67
Oita,19181,330.71,304,8.44,422,11.72,1450,40.28,6370,176.94,264,7.33,340,9.44,154,4.28,337,9.36,29,0.81,336,9.33,-,-,98,19.6,1,0.09,6,0.55,30,2.73,-,-,13,1.18
Miyazaki,18128,312.55,234,6.69,420,12,2078,59.37,5918,169.09,324,9.26,1017,29.06,452,12.91,409,11.69,283,8.09,82,2.34,-,-,287,47.83,-,-,-,-,-,-,-,-,18,2.57
Kagoshima,25639,278.68,624,11.56,1070,19.81,2439,45.17,9088,168.3,525,9.72,952,17.63,201,3.72,400,7.41,153,2.83,126,2.33,1,0.14,263,37.57,4,0.33,-,-,4,0.33,-,-,18,1.5
Okinawa,20432,358.46,210,6.36,203,6.15,1015,30.76,1934,58.61,291,8.82,400,12.12,696,21.09,263,7.97,45,1.36,52,1.58,2,0.25,199,24.88,10,1.43,9,1.29,28,4,3,0.43,16,2.29
