"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2020",,,,,,"Data collected as of February 12, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,443449,90.26,5716,1.82,7354,2.35,50043,15.97,108381,34.58,7503,2.39,2946,0.94,8490,2.71,5092,1.62,440,0.14,922,0.29,29,0.04,1779,2.59,44,0.09,56,0.12,881,1.85,3,0.01,80,0.17
Hokkaido,15121,69.68,613,4.57,373,2.78,2708,20.21,1862,13.9,282,2.1,27,0.2,798,5.96,142,1.06,12,0.09,24,0.18,2,0.07,93,3.32,2,0.09,5,0.23,74,3.36,-,-,17,0.77
Aomori,3928,60.43,75,1.79,61,1.45,402,9.57,1618,38.52,48,1.14,122,2.9,136,3.24,67,1.6,3,0.07,7,0.17,-,-,23,2.09,-,-,-,-,9,1.5,-,-,-,-
Iwate,6045,91.59,86,2.1,46,1.12,810,19.76,1243,30.32,58,1.41,61,1.49,113,2.76,68,1.66,2,0.05,11,0.27,-,-,27,1.93,1,0.05,-,-,14,0.74,-,-,-,-
Miyagi,6431,68.41,160,2.76,137,2.36,1248,21.52,1867,32.19,182,3.14,90,1.55,82,1.41,96,1.66,-,-,10,0.17,1,0.08,16,1.33,1,0.08,-,-,42,3.5,-,-,-,-
Akita,6110,115.28,46,1.35,26,0.76,211,6.21,738,21.71,36,1.06,56,1.65,11,0.32,21,0.62,-,-,7,0.21,1,0.17,4,0.67,1,0.13,-,-,5,0.63,-,-,1,0.13
Yamagata,3401,77.3,68,2.34,148,5.1,880,30.34,855,29.48,123,4.24,5,0.17,61,2.1,87,3,5,0.17,5,0.17,-,-,18,2.25,1,0.1,-,-,11,1.1,-,-,-,-
Fukushima,8779,105.77,127,2.54,117,2.34,815,16.3,1237,24.74,119,2.38,39,0.78,300,6,138,2.76,1,0.02,14,0.28,-,-,70,5.38,-,-,-,-,12,1.71,-,-,-,-
Ibaraki,10587,88.23,73,0.97,194,2.59,1025,13.67,2489,33.19,263,3.51,26,0.35,115,1.53,80,1.07,4,0.05,18,0.24,-,-,78,4.59,-,-,2,0.17,33,2.75,-,-,-,-
Tochigi,5382,70.82,78,1.63,33,0.69,435,9.06,1033,21.52,101,2.1,20,0.42,44,0.92,81,1.69,1,0.02,10,0.21,-,-,19,1.58,-,-,-,-,13,1.86,-,-,1,0.14
Gunma,8918,107.45,64,1.25,138,2.71,595,11.67,1578,30.94,156,3.06,41,0.8,99,1.94,91,1.78,5,0.1,15,0.29,-,-,49,3.77,1,0.11,-,-,28,3.11,-,-,1,0.11
Saitama,22673,90.33,288,1.83,449,2.86,2837,18.07,6704,42.7,570,3.63,175,1.11,222,1.41,267,1.7,13,0.08,57,0.36,5,0.13,83,2.13,1,0.09,1,0.09,28,2.55,-,-,1,0.09
