"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2016",,,,,,"Data collected as of January 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,30397,6.15,5948,1.89,2831,0.9,14260,4.52,48789,15.47,4258,1.35,289,0.09,5174,1.64,2674,0.85,78,0.02,111,0.04,6603,2.09,19,0.03,1199,1.75,20,0.04,31,0.07,771,1.63,22,0.05,145,0.31
Hokkaido,2732,12.09,239,1.68,176,1.24,977,6.88,950,6.69,159,1.12,27,0.19,517,3.64,79,0.56,3,0.02,4,0.03,517,3.64,-,-,14,0.5,1,0.04,-,-,19,0.83,3,0.13,25,1.09
Aomori,605,9.31,44,1.05,29,0.69,116,2.76,334,7.95,21,0.5,-,-,50,1.19,27,0.64,-,-,-,-,69,1.64,-,-,11,1,4,0.67,1,0.17,6,1,-,-,-,-
Iwate,574,8.83,48,1.2,11,0.28,252,6.3,500,12.5,20,0.5,2,0.05,26,0.65,36,0.9,1,0.03,2,0.05,50,1.25,-,-,16,1.14,1,0.05,-,-,21,1.11,-,-,1,0.05
Miyagi,534,5.62,75,1.27,24,0.41,315,5.34,1144,19.39,93,1.58,1,0.02,39,0.66,53,0.9,-,-,-,-,65,1.1,-,-,10,0.83,1,0.08,-,-,28,2.33,-,-,1,0.08
Akita,907,16.8,13,0.37,18,0.51,71,2.03,338,9.66,32,0.91,3,0.09,166,4.74,13,0.37,1,0.03,-,-,4,0.11,1,0.14,2,0.29,-,-,-,-,7,0.88,-,-,1,0.13
Yamagata,201,4.19,23,0.77,42,1.4,332,11.07,636,21.2,40,1.33,1,0.03,174,5.8,41,1.37,-,-,-,-,129,4.3,-,-,6,0.75,-,-,1,0.1,4,0.4,1,0.1,-,-
Fukushima,496,6.44,77,1.67,49,1.07,145,3.15,565,12.28,61,1.33,3,0.07,82,1.78,53,1.15,1,0.02,3,0.07,36,0.78,-,-,20,1.67,1,0.14,1,0.14,9,1.29,-,-,1,0.14
Ibaraki,832,6.93,84,1.12,49,0.65,279,3.72,1263,16.84,131,1.75,6,0.08,95,1.27,37,0.49,-,-,2,0.03,212,2.83,-,-,46,2.71,-,-,-,-,23,1.77,-,-,-,-
Tochigi,313,4.12,51,1.06,16,0.33,169,3.52,581,12.1,45,0.94,3,0.06,83,1.73,55,1.15,-,-,-,-,69,1.44,-,-,40,3.33,-,-,-,-,13,1.86,-,-,2,0.29
Gunma,443,4.66,71,1.22,42,0.72,366,6.31,957,16.5,41,0.71,3,0.05,69,1.19,55,0.95,1,0.02,2,0.03,40,0.69,-,-,21,1.5,-,-,-,-,16,2,-,-,3,0.38
Saitama,1719,6.85,192,1.22,142,0.9,784,4.96,3306,20.92,351,2.22,15,0.09,310,1.96,126,0.8,3,0.02,6,0.04,404,2.56,1,0.03,70,1.75,2,0.2,1,0.1,22,2.2,3,0.3,2,0.2
Chiba,1784,8.38,121,0.9,105,0.78,707,5.28,2340,17.46,244,1.82,9,0.07,235,1.75,131,0.98,4,0.03,5,0.04,379,2.83,-,-,55,1.72,1,0.11,2,0.22,15,1.67,2,0.22,1,0.11
Tokyo,2256,5.46,242,0.93,151,0.58,1110,4.25,4395,16.84,397,1.52,27,0.1,211,0.81,218,0.84,6,0.02,8,0.03,397,1.52,-,-,46,1.18,-,-,1,0.04,80,3.2,1,0.04,-,-
Kanagawa,2026,6.05,170,0.81,120,0.57,735,3.5,3687,17.56,366,1.74,17,0.08,128,0.61,163,0.78,3,0.01,5,0.02,302,1.44,5,0.11,131,2.79,-,-,1,0.1,7,0.7,-,-,3,0.3
Niigata,1648,17.53,103,1.75,156,2.64,369,6.25,746,12.64,93,1.58,6,0.1,36,0.61,44,0.75,4,0.07,1,0.02,139,2.36,2,0.2,21,2.1,-,-,-,-,12,0.92,5,0.38,4,0.31
Toyama,183,3.81,30,1.03,34,1.17,186,6.41,614,21.17,50,1.72,3,0.1,32,1.1,22,0.76,-,-,4,0.14,28,0.97,-,-,8,1.14,-,-,-,-,19,3.8,-,-,-,-
Ishikawa,158,3.29,12,0.41,74,2.55,156,5.38,346,11.93,24,0.83,1,0.03,13,0.45,15,0.52,-,-,-,-,213,7.34,-,-,6,0.86,-,-,1,0.2,11,2.2,-,-,1,0.2
Fukui,171,5.34,47,2.14,33,1.5,161,7.32,300,13.64,34,1.55,-,-,77,3.5,29,1.32,2,0.09,-,-,11,0.5,-,-,1,0.33,-,-,1,0.17,5,0.83,-,-,-,-
Yamanashi,198,4.95,34,1.42,15,0.63,123,5.13,405,16.88,18,0.75,-,-,33,1.38,12,0.5,-,-,-,-,9,0.38,-,-,17,1.89,1,0.1,-,-,14,1.4,-,-,1,0.1
Nagano,578,6.64,206,3.81,38,0.7,226,4.19,949,17.57,36,0.67,5,0.09,82,1.52,29,0.54,1,0.02,-,-,123,2.28,-,-,16,1.45,-,-,-,-,18,1.64,-,-,-,-
