"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2021",,,,,,"Data collected as of November 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,13,0.09,7395,84.03,772,8.77,1413,16.06,9308,105.77,342,3.89,136,1.55,57,0.65,1379,15.67,514,5.84,240,2.73,-,-,85,3.86,15,1.5,21,2.1,6,0.6,-,-,-,-
Aichi,35,0.18,8864,48.7,840,4.62,3803,20.9,16802,92.32,486,2.67,248,1.36,53,0.29,2099,11.53,1837,10.09,273,1.5,6,0.17,174,4.97,12,0.8,29,1.93,3,0.2,2,0.13,2,0.13
Mie,27,0.39,5025,114.2,344,7.82,534,12.14,5519,125.43,172,3.91,200,4.55,21,0.48,697,15.84,793,18.02,57,1.3,-,-,22,2,3,0.33,4,0.44,26,2.89,-,-,1,0.11
Shiga,27,0.46,1452,41.49,183,5.23,857,24.49,2969,84.83,160,4.57,363,10.37,16,0.46,472,13.49,872,24.91,72,2.06,-,-,14,1.75,12,1.71,6,0.86,4,0.57,-,-,-,-
Kyoto,72,0.58,3532,46.47,559,7.36,1754,23.08,7492,98.58,288,3.79,1188,15.63,25,0.33,830,10.92,866,11.39,117,1.54,-,-,65,3.82,2,0.29,4,0.57,3,0.43,2,0.29,-,-
Osaka,83,0.28,15729,80.25,1980,10.1,4371,22.3,25989,132.6,827,4.22,4946,25.23,104,0.53,2953,15.07,1936,9.88,442,2.26,13,0.25,253,4.87,10,0.63,13,0.81,4,0.25,-,-,4,0.25
Hyogo,29,0.15,10615,82.93,1170,9.14,2138,16.7,20555,160.59,453,3.54,3154,24.64,67,0.52,1878,14.67,1281,10.01,283,2.21,1,0.03,285,8.14,11,0.79,37,2.64,10,0.71,1,0.07,6,0.43
Nara,1,0.02,3019,88.79,453,13.32,463,13.62,4114,121,106,3.12,469,13.79,16,0.47,571,16.79,195,5.74,40,1.18,1,0.1,92,9.2,9,1.5,4,0.67,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2945,98.17,201,6.7,664,22.13,3412,113.73,101,3.37,123,4.1,13,0.43,441,14.7,149,4.97,45,1.5,-,-,25,6.25,17,1.55,15,1.36,14,1.27,-,-,1,0.09
Tottori,5,0.17,1400,73.68,280,14.74,2274,119.68,3363,177,106,5.58,100,5.26,10,0.53,304,16,397,20.89,21,1.11,1,0.2,26,5.2,6,1.2,4,0.8,1,0.2,-,-,-,-
Shimane,14,0.37,1604,69.74,181,7.87,349,15.17,4513,196.22,145,6.3,170,7.39,4,0.17,560,24.35,399,17.35,14,0.61,-,-,11,3.67,14,1.75,9,1.13,5,0.63,-,-,-,-
Okayama,43,0.51,2089,38.69,327,6.06,628,11.63,8162,151.15,222,4.11,1470,27.22,27,0.5,735,13.61,971,17.98,118,2.19,3,0.25,42,3.5,6,1.2,2,0.4,5,1,-,-,1,0.2
Hiroshima,21,0.18,4257,59.96,846,11.92,1045,14.72,12649,178.15,255,3.59,659,9.28,38,0.54,1049,14.77,1116,15.72,165,2.32,8,0.42,245,12.89,8,0.4,4,0.2,12,0.6,1,0.05,4,0.2
Yamaguchi,11,0.17,5917,131.49,271,6.02,1412,31.38,6010,133.56,161,3.58,1826,40.58,38,0.84,1012,22.49,725,16.11,92,2.04,-,-,43,4.78,2,0.22,4,0.44,30,3.33,-,-,-,-
Tokushima,3,0.08,2911,126.57,209,9.09,242,10.52,3508,152.52,114,4.96,137,5.96,6,0.26,438,19.04,381,16.57,25,1.09,-,-,13,3.25,1,0.14,3,0.43,6,0.86,-,-,1,0.14
Kagawa,3,0.06,2155,76.96,343,12.25,578,20.64,6184,220.86,122,4.36,640,22.86,21,0.75,528,18.86,1148,41,78,2.79,2,0.4,20,4,2,0.4,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,3155,87.64,309,8.58,1152,32,9979,277.19,145,4.03,1017,28.25,24,0.67,904,25.11,637,17.69,95,2.64,1,0.13,256,32,3,0.5,4,0.67,1,0.17,-,-,3,0.5
Kochi,4,0.09,3209,114.61,232,8.29,421,15.04,4071,145.39,139,4.96,1059,37.82,36,1.29,420,15,1052,37.57,29,1.04,-,-,20,6.67,5,0.63,2,0.25,9,1.13,-,-,4,0.5
Fukuoka,6,0.03,12780,106.5,2239,18.66,9602,80.02,21861,182.18,776,6.47,9979,83.16,89,0.74,3166,26.38,1923,16.03,381,3.18,11,0.42,265,10.19,12,0.86,33,2.36,10,0.71,-,-,-,-
Saga,2,0.05,2313,100.57,435,18.91,829,36.04,1645,71.52,126,5.48,1479,64.3,8,0.35,771,33.52,320,13.91,33,1.43,-,-,16,4,7,1.17,8,1.33,7,1.17,-,-,-,-
Nagasaki,8,0.12,3176,73.86,544,12.65,3201,74.44,3593,83.56,322,7.49,1520,35.35,36,0.84,761,17.7,246,5.72,119,2.77,-,-,35,4.38,9,0.75,18,1.5,39,3.25,-,-,1,0.08
Kumamoto,3,0.04,3937,78.74,554,11.08,768,15.36,6863,137.26,257,5.14,5450,109,65,1.3,1506,30.12,750,15,101,2.02,-,-,201,22.33,1,0.07,11,0.73,4,0.27,-,-,1,0.07
Oita,2,0.03,2822,78.39,395,10.97,567,15.75,9101,252.81,349,9.69,2975,82.64,21,0.58,904,25.11,772,21.44,100,2.78,2,0.4,59,11.8,-,-,1,0.09,40,3.64,-,-,-,-
Miyazaki,3,0.05,3969,110.25,653,18.14,1908,53,9240,256.67,215,5.97,2895,80.42,28,0.78,1082,30.06,1142,31.72,102,2.83,-,-,160,26.67,-,-,2,0.29,-,-,-,-,-,-
Kagoshima,12,0.13,3837,71.06,1594,29.52,1746,32.33,11229,207.94,395,7.31,3397,62.91,49,0.91,979,18.13,555,10.28,151,2.8,-,-,109,15.57,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,19,0.33,1484,44.97,595,18.03,1233,37.36,2170,65.76,267,8.09,226,6.85,5,0.15,433,13.12,156,4.73,97,2.94,1,0.11,222,24.67,20,2.86,13,1.86,5,0.71,-,-,1,0.14
