"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2015",,,,,,"Data collected as of November 25, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1155381,234.69,82458,26.21,61589,19.58,348307,110.71,827697,263.1,64287,20.43,378694,120.37,85698,27.24,77288,24.57,2428,0.77,97522,31,65903,20.95,429,0.62,21859,31.82,401,0.84,952,2,8251,17.33,353,0.74,4115,8.64
Hokkaido,41592,184.04,5278,37.17,4695,33.06,22589,159.08,19297,135.89,3229,22.74,14173,99.81,4002,28.18,2200,15.49,75,0.53,3414,24.04,4170,29.37,8,0.3,548,20.3,6,0.27,12,0.55,404,18.36,2,0.09,393,17.86
Aomori,14801,227.71,986,23.48,547,13.02,2732,65.05,6595,157.02,651,15.5,5926,141.1,916,21.81,891,21.21,9,0.21,669,15.93,216,5.14,-,-,248,22.55,11,1.83,12,2,183,30.5,-,-,121,20.17
Iwate,15477,241.83,1262,32.36,499,12.79,5361,137.46,9519,244.08,859,22.03,4578,117.38,805,20.64,859,22.03,14,0.36,899,23.05,224,5.74,3,0.21,217,15.5,5,0.26,8,0.42,255,13.42,4,0.21,149,7.84
Miyagi,19680,209.36,1948,33.59,1090,18.79,6696,115.45,16875,290.95,1444,24.9,10966,189.07,1637,28.22,1710,29.48,2,0.03,1910,32.93,321,5.53,3,0.25,176,14.67,5,0.42,4,0.33,342,28.5,1,0.08,78,6.5
Akita,13260,250.19,587,17.26,558,16.41,2146,63.12,5283,155.38,523,15.38,2616,76.94,652,19.18,398,11.71,4,0.12,466,13.71,336,9.88,10,1.43,103,14.71,1,0.13,-,-,160,20,-,-,74,9.25
Yamagata,10067,214.19,1589,54.79,992,34.21,5501,189.69,9782,337.31,755,26.03,6064,209.1,1142,39.38,957,33,14,0.48,1187,40.93,1128,38.9,-,-,56,8,6,0.6,9,0.9,42,4.2,16,1.6,50,5
Fukushima,19117,251.54,2608,57.96,733,16.29,4545,101,9880,219.56,1013,22.51,7694,170.98,2069,45.98,1392,30.93,20,0.44,1004,22.31,1009,22.42,-,-,370,30.83,5,0.71,11,1.57,176,25.14,3,0.43,131,18.71
Ibaraki,22625,188.54,1131,15.08,1149,15.32,7786,103.81,18984,253.12,1497,19.96,6245,83.27,2393,31.91,1256,16.75,32,0.43,1633,21.77,1845,24.6,12,0.71,806,47.41,3,0.23,6,0.46,110,8.46,1,0.08,39,3
Tochigi,13938,183.39,1239,25.81,336,7,3757,78.27,6092,126.92,697,14.52,6378,132.88,1525,31.77,1274,26.54,50,1.04,457,9.52,720,15,6,0.5,272,22.67,4,0.57,17,2.43,119,17,5,0.71,47,6.71
Gunma,19633,202.4,1036,17.56,690,11.69,7624,129.22,15084,255.66,817,13.85,8486,143.83,1662,28.17,1444,24.47,57,0.97,1198,20.31,996,16.88,1,0.08,1079,83,5,0.63,9,1.13,158,19.75,-,-,188,23.5
Saitama,41504,168.03,2963,18.99,3752,24.05,20051,128.53,46158,295.88,3905,25.03,23325,149.52,7876,50.49,4393,28.16,86,0.55,4550,29.17,5414,34.71,41,1.03,1404,35.1,9,0.9,41,4.1,218,21.8,20,2,113,11.3
Chiba,48425,230.6,1834,13.79,2974,22.36,16314,122.66,30205,227.11,2507,18.85,12600,94.74,4876,36.66,3065,23.05,124,0.93,4527,34.04,3525,26.5,16,0.48,1271,38.52,19,2.11,47,5.22,87,9.67,15,1.67,52,5.78
Tokyo,58397,142.78,5515,21.38,4692,18.19,30528,118.33,73713,285.71,5584,21.64,32428,125.69,9583,37.14,7142,27.68,278,1.08,7141,27.68,3991,15.47,13,0.34,1100,28.95,38,1.58,65,2.71,582,24.25,53,2.21,92,3.83
Kanagawa,54242,168.45,2870,14.07,3177,15.57,19793,97.02,51691,253.39,5568,27.29,26617,130.48,6189,30.34,5464,26.78,95,0.47,5691,27.9,2581,12.65,61,1.33,1955,42.5,17,1.7,30,3,242,24.2,1,0.1,127,12.7
Niigata,26636,283.36,2349,39.81,2626,44.51,8746,148.24,14529,246.25,1440,24.41,11263,190.9,1256,21.29,1595,27.03,59,1,1755,29.75,825,13.98,17,1.7,265,26.5,3,0.23,3,0.23,131,10.08,98,7.54,50,3.85
Toyama,11425,238.02,661,22.79,703,24.24,3265,112.59,8564,295.31,825,28.45,3331,114.86,169,5.83,569,19.62,8,0.28,1117,38.52,389,13.41,2,0.29,66,9.43,2,0.4,-,-,285,57,-,-,33,6.6
Ishikawa,13497,281.19,784,27.03,743,25.62,4633,159.76,8491,292.79,587,20.24,3135,108.1,876,30.21,643,22.17,7,0.24,563,19.41,1862,64.21,-,-,90,12.86,1,0.2,4,0.8,201,40.2,-,-,75,15
Fukui,11236,351.13,851,38.68,515,23.41,2585,117.5,9583,435.59,312,14.18,3373,153.32,242,11,503,22.86,24,1.09,636,28.91,599,27.23,1,0.33,31,10.33,17,2.83,14,2.33,42,7,-,-,106,17.67
Yamanashi,8732,218.3,252,10.5,139,5.79,2418,100.75,5132,213.83,294,12.25,1750,72.92,648,27,377,15.71,4,0.17,950,39.58,75,3.13,1,0.11,166,18.44,6,0.6,57,5.7,88,8.8,-,-,68,6.8
