"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2019",,,,,,"Data collected as of October 16, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1460969,296.1,116221,36.86,55540,17.61,262767,83.34,640285,203.07,40682,12.9,364456,115.59,88303,28.01,52073,16.52,91032,28.87,12687,4.02,284,0.41,18518,26.68,367,0.77,604,1.26,3742,7.81,73,0.15,4640,9.69
Hokkaido,59401,270,4625,33.51,2411,17.47,17506,126.86,15487,112.22,1620,11.74,15138,109.7,3284,23.8,1398,10.13,3045,22.07,301,2.18,6,0.21,517,18.46,12,0.55,9,0.41,381,17.32,4,0.18,322,14.64
Aomori,15008,230.89,724,17.24,352,8.38,2365,56.31,6908,164.48,446,10.62,3757,89.45,1375,32.74,678,16.14,723,17.21,344,8.19,4,0.36,134,12.18,2,0.33,2,0.33,190,31.67,-,-,69,11.5
Iwate,17925,275.77,975,24.38,439,10.98,4834,120.85,6479,161.98,463,11.58,3966,99.15,902,22.55,670,16.75,822,20.55,276,6.9,-,-,272,19.43,9,0.47,8,0.42,104,5.47,2,0.11,246,12.95
Miyagi,30692,326.51,2207,38.05,706,12.17,7155,123.36,11757,202.71,1129,19.47,9644,166.28,2882,49.69,1164,20.07,1419,24.47,219,3.78,4,0.33,156,13,4,0.33,3,0.25,170,14.17,-,-,32,2.67
Akita,15019,283.38,596,17.53,206,6.06,1685,49.56,3703,108.91,193,5.68,1979,58.21,363,10.68,324,9.53,524,15.41,30,0.88,-,-,65,10.83,5,0.63,-,-,113,14.13,-,-,33,4.13
Yamagata,12856,285.69,1567,54.03,528,18.21,4265,147.07,6676,230.21,408,14.07,5482,189.03,1195,41.21,623,21.48,1287,44.38,61,2.1,-,-,119,17,3,0.3,8,0.8,68,6.8,-,-,75,7.5
Fukushima,29351,353.63,2891,57.82,1115,22.3,4857,97.14,6624,132.48,713,14.26,7594,151.88,1725,34.5,1217,24.34,1273,25.46,196,3.92,4,0.31,472,36.31,4,0.57,3,0.43,39,5.57,-,-,146,20.86
Ibaraki,36989,308.24,1963,26.17,1129,15.05,5799,77.32,12321,164.28,1120,14.93,7685,102.47,2171,28.95,899,11.99,2445,32.6,251,3.35,-,-,803,50.19,6,0.5,6,0.5,173,14.42,-,-,50,4.17
