"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2015",,,,,,"Data collected as of December 2, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1156216,234.86,89117,28.34,63061,20.05,355739,113.11,847980,269.63,66333,21.09,379541,120.68,87609,27.86,78719,25.03,2488,0.79,97680,31.06,68325,21.72,433,0.63,22444,32.67,406,0.85,972,2.04,8586,18.04,362,0.76,4136,8.69
Hokkaido,41653,184.31,5701,40.15,4783,33.68,23192,163.32,19709,138.8,3355,23.63,14271,100.5,4166,29.34,2230,15.7,77,0.54,3428,24.14,4374,30.8,8,0.3,555,20.56,8,0.36,12,0.55,433,19.68,2,0.09,395,17.95
Aomori,14802,227.72,1040,24.76,566,13.48,2785,66.31,6749,160.69,671,15.98,5953,141.74,921,21.93,912,21.71,9,0.21,676,16.1,241,5.74,-,-,252,22.91,11,1.83,12,2,187,31.17,-,-,121,20.17
Iwate,15489,242.02,1351,34.64,505,12.95,5549,142.28,9715,249.1,878,22.51,4604,118.05,814,20.87,874,22.41,14,0.36,902,23.13,237,6.08,3,0.21,227,16.21,5,0.26,8,0.42,263,13.84,4,0.21,149,7.84
Miyagi,19696,209.53,2099,36.19,1105,19.05,6861,118.29,17233,297.12,1488,25.66,10993,189.53,1650,28.45,1741,30.02,2,0.03,1912,32.97,331,5.71,4,0.33,178,14.83,5,0.42,4,0.33,349,29.08,1,0.08,78,6.5
Akita,13276,250.49,683,20.09,565,16.62,2171,63.85,5377,158.15,541,15.91,2624,77.18,701,20.62,406,11.94,4,0.12,467,13.74,342,10.06,10,1.43,104,14.86,1,0.13,-,-,163,20.38,-,-,74,9.25
Yamagata,10069,214.23,1706,58.83,1018,35.1,5646,194.69,9951,343.14,773,26.66,6079,209.62,1181,40.72,972,33.52,14,0.48,1190,41.03,1182,40.76,-,-,56,8,6,0.6,9,0.9,44,4.4,16,1.6,51,5.1
Fukushima,19142,251.87,2834,62.98,745,16.56,4635,103,10098,224.4,1067,23.71,7709,171.31,2111,46.91,1424,31.64,23,0.51,1010,22.44,1020,22.67,-,-,381,31.75,5,0.71,11,1.57,178,25.43,3,0.43,131,18.71
Ibaraki,22632,188.6,1322,17.63,1179,15.72,7920,105.6,19458,259.44,1555,20.73,6264,83.52,2438,32.51,1281,17.08,34,0.45,1636,21.81,1927,25.69,12,0.71,828,48.71,3,0.23,6,0.46,121,9.31,1,0.08,40,3.08
