"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2017",,,,,,"Data collected as of June 14, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,22469,261.27,206,3.96,353,6.79,1272,24.46,4424,85.08,274,5.27,139,2.67,35,0.67,345,6.63,7,0.13,27,0.52,910,17.5,-,-,76,6.91,1,0.2,9,1.8,107,21.4,-,-,82,16.4
Shizuoka,38626,277.88,283,3.18,783,8.8,5840,65.62,12044,135.33,566,6.36,283,3.18,107,1.2,718,8.07,10,0.11,38,0.43,824,9.26,10,0.48,204,9.71,10,1,17,1.7,86,8.6,23,2.3,67,6.7
Aichi,65801,337.44,812,4.46,1388,7.63,6899,37.91,19594,107.66,1233,6.77,1295,7.12,155,0.85,1346,7.4,20,0.11,119,0.65,1288,7.08,9,0.26,274,7.83,5,0.33,16,1.07,195,13,4,0.27,180,12
Mie,19166,266.19,455,10.11,761,16.91,1624,36.09,5462,121.38,309,6.87,343,7.62,77,1.71,472,10.49,9,0.2,65,1.44,289,6.42,4,0.33,25,2.08,16,1.78,18,2,73,8.11,10,1.11,16,1.78
Shiga,12038,231.5,156,5.03,283,9.13,824,26.58,4089,131.9,270,8.71,439,14.16,15,0.48,269,8.68,4,0.13,130,4.19,480,15.48,1,0.13,33,4.13,2,0.29,9,1.29,36,5.14,1,0.14,16,2.29
Kyoto,27774,223.98,170,2.27,825,11,2506,33.41,9096,121.28,377,5.03,1560,20.8,57,0.76,546,7.28,15,0.2,202,2.69,714,9.52,1,0.06,119,7,3,0.43,4,0.57,45,6.43,-,-,58,8.29
Osaka,67091,218.54,1931,9.7,2354,11.83,9856,49.53,26368,132.5,1680,8.44,3849,19.34,173,0.87,2018,10.14,38,0.19,550,2.76,3296,16.56,16,0.31,326,6.27,14,0.88,13,0.81,177,11.06,1,0.06,220,13.75
Hyogo,44942,226.98,994,7.77,1854,14.48,4585,35.82,20689,161.63,1013,7.91,1302,10.17,306,2.39,1128,8.81,20,0.16,216,1.69,2153,16.82,8,0.23,282,8.06,14,1.08,15,1.15,104,8,2,0.15,151,11.62
Nara,10255,189.91,473,13.91,597,17.56,1708,50.24,3484,102.47,240,7.06,288,8.47,42,1.24,374,11,2,0.06,56,1.65,600,17.65,-,-,121,12.1,10,1.67,15,2.5,79,13.17,1,0.17,51,8.5
Wakayama,8410,171.63,234,7.8,263,8.77,484,16.13,3350,111.67,208,6.93,136,4.53,29,0.97,290,9.67,8,0.27,43,1.43,1290,43,11,2.75,60,15,3,0.27,11,1,46,4.18,5,0.45,61,5.55
Tottori,5976,206.07,50,2.63,238,12.53,2807,147.74,2330,122.63,279,14.68,103,5.42,26,1.37,169,8.89,8,0.42,91,4.79,649,34.16,2,0.4,82,16.4,2,0.4,17,3.4,37,7.4,-,-,72,14.4
Shimane,7260,191.05,71,3.09,238,10.35,1512,65.74,2891,125.7,146,6.35,126,5.48,204,8.87,332,14.43,8,0.35,27,1.17,790,34.35,-,-,1,0.33,-,-,9,1.13,50,6.25,-,-,40,5
Okayama,21984,261.71,182,3.37,606,11.22,1278,23.67,6979,129.24,275,5.09,586,10.85,63,1.17,495,9.17,6,0.11,142,2.63,481,8.91,10,0.83,193,16.08,2,0.4,4,0.8,33,6.6,1,0.2,30,6
Hiroshima,26921,236.15,452,6.37,1062,14.96,3979,56.04,8573,120.75,540,7.61,1771,24.94,175,2.46,624,8.79,24,0.34,141,1.99,684,9.63,2,0.11,320,16.84,5,0.25,2,0.1,89,4.45,1,0.05,105,5.25
Yamaguchi,19604,288.29,500,10.42,600,12.5,2484,51.75,4983,103.81,326,6.79,468,9.75,118,2.46,578,12.04,13,0.27,132,2.75,2045,42.6,-,-,161,17.89,5,0.56,2,0.22,97,10.78,1,0.11,84,9.33
Tokushima,8430,227.84,273,11.87,243,10.57,1009,43.87,3020,131.3,110,4.78,118,5.13,45,1.96,329,14.3,6,0.26,64,2.78,427,18.57,1,0.25,14,3.5,-,-,1,0.17,9,1.5,-,-,10,1.67
Kagawa,9049,192.53,228,8.14,346,12.36,1477,52.75,5355,191.25,140,5,584,20.86,55,1.96,317,11.32,3,0.11,127,4.54,621,22.18,2,0.4,32,6.4,3,0.6,3,0.6,46,9.2,-,-,151,30.2
Ehime,16476,270.1,195,5.27,242,6.54,2274,61.46,7284,196.86,267,7.22,640,17.3,210,5.68,544,14.7,3,0.08,78,2.11,1547,41.81,-,-,258,32.25,1,0.17,1,0.17,44,7.33,-,-,28,4.67
Kochi,14629,304.77,222,7.4,176,5.87,1421,47.37,3194,106.47,303,10.1,275,9.17,79,2.63,249,8.3,15,0.5,34,1.13,142,4.73,-,-,9,3,1,0.13,3,0.38,62,7.75,6,0.75,70,8.75
Fukuoka,71834,362.8,1194,9.95,1525,12.71,9968,83.07,24534,204.45,1621,13.51,2580,21.5,211,1.76,1813,15.11,60,0.5,1385,11.54,2001,16.68,-,-,335,12.88,10,0.67,18,1.2,264,17.6,-,-,47,3.13
Saga,12730,335,214,9.73,365,16.59,1149,52.23,3121,141.86,269,12.23,873,39.68,26,1.18,370,16.82,2,0.09,72,3.27,151,6.86,-,-,38,12.67,5,0.83,3,0.5,23,3.83,1,0.17,118,19.67
Nagasaki,22353,319.33,249,5.66,302,6.86,3336,75.82,5011,113.89,270,6.14,569,12.93,24,0.55,433,9.84,11,0.25,55,1.25,442,10.05,5,0.63,47,5.88,1,0.08,8,0.67,67,5.58,-,-,72,6
Kumamoto,23999,299.99,227,4.54,556,11.12,2678,53.56,9833,196.66,530,10.6,1205,24.1,72,1.44,793,15.86,2,0.04,423,8.46,785,15.7,3,0.33,266,29.56,14,0.93,16,1.07,67,4.47,-,-,111,7.4
Oita,19852,342.28,136,3.78,317,8.81,2871,79.75,11263,312.86,415,11.53,289,8.03,24,0.67,579,16.08,13,0.36,116,3.22,377,10.47,-,-,83,16.6,1,0.09,1,0.09,72,6.55,1,0.09,41,3.73
Miyazaki,22969,389.31,402,11.17,592,16.44,2012,55.89,8291,230.31,491,13.64,1555,43.19,263,7.31,652,18.11,3,0.08,134,3.72,224,6.22,2,0.4,218,43.6,-,-,1,0.14,19,2.71,-,-,109,15.57
Kagoshima,26919,289.45,858,15.6,1343,24.42,2295,41.73,11596,210.84,536,9.75,1082,19.67,59,1.07,473,8.6,7,0.13,173,3.15,2190,39.82,-,-,182,26,3,0.25,7,0.58,25,2.08,-,-,106,8.83
Okinawa,21330,374.21,1095,32.21,401,11.79,845,24.85,3583,105.38,433,12.74,108,3.18,37,1.09,221,6.5,60,1.76,84,2.47,105,3.09,1,0.11,154,17.11,9,1.29,34,4.86,99,14.14,-,-,85,12.14
