"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2020",,,,,,"Data collected as of July 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562881,114.04,12274,3.89,21226,6.73,152618,48.39,276308,87.61,20959,6.65,9521,3.02,17338,5.5,34843,11.05,6167,1.96,4663,1.48,126,0.18,5592,8.06,256,0.54,271,0.57,2871,6.02,47,0.1,211,0.44
Hokkaido,26992,122.69,904,6.6,1088,7.94,7573,55.28,4279,31.23,816,5.96,123,0.9,1426,10.41,1004,7.33,58,0.42,110,0.8,8,0.29,338,12.07,8,0.36,7,0.32,176,8,1,0.05,24,1.09
Aomori,5299,81.52,187,4.45,205,4.88,1446,34.43,3739,89.02,228,5.43,274,6.52,368,8.76,452,10.76,10,0.24,30,0.71,1,0.09,69,6.27,-,-,-,-,39,6.5,-,-,2,0.33
Iwate,9107,140.11,177,4.32,278,6.78,3139,76.56,3658,89.22,285,6.95,264,6.44,211,5.15,533,13,16,0.39,63,1.54,-,-,114,8.14,3,0.16,1,0.05,59,3.11,-,-,5,0.26
Miyagi,7748,82.43,401,6.91,358,6.17,3328,57.38,4468,77.03,422,7.28,326,5.62,160,2.76,798,13.76,25,0.43,75,1.29,3,0.25,47,3.92,2,0.17,-,-,159,13.25,1,0.08,2,0.17
Akita,7132,134.57,58,1.71,136,4,741,21.79,2004,58.94,94,2.76,195,5.74,87,2.56,218,6.41,8,0.24,26,0.76,4,0.67,27,4.5,1,0.13,-,-,20,2.5,1,0.13,2,0.25
Yamagata,4164,92.53,131,4.52,432,14.9,2900,100,2364,81.52,286,9.86,36,1.24,225,7.76,457,15.76,15,0.52,23,0.79,-,-,48,6.86,4,0.4,-,-,28,2.8,1,0.1,1,0.1
Fukushima,10239,123.36,314,6.28,380,7.6,2953,59.06,3372,67.44,363,7.26,101,2.02,606,12.12,827,16.54,28,0.56,70,1.4,-,-,198,15.23,4,0.67,1,0.17,36,6,-,-,2,0.33
Ibaraki,11751,97.93,176,2.35,522,6.96,3218,42.91,6008,80.11,554,7.39,107,1.43,252,3.36,535,7.13,44,0.59,79,1.05,2,0.12,316,18.59,-,-,5,0.42,117,9.75,-,-,5,0.42
Tochigi,5940,78.16,164,3.42,104,2.17,1409,29.35,2303,47.98,287,5.98,94,1.96,158,3.29,609,12.69,11,0.23,57,1.19,-,-,57,4.75,1,0.14,4,0.57,59,8.43,2,0.29,2,0.29
Gunma,11040,128.37,112,2.11,353,6.66,1865,35.19,4200,79.25,366,6.91,111,2.09,210,3.96,620,11.7,41,0.77,83,1.57,-,-,161,11.5,6,0.67,3,0.33,84,9.33,2,0.22,1,0.11
Saitama,29314,115.87,543,3.42,998,6.28,7712,48.5,16821,105.79,1468,9.23,564,3.55,480,3.02,1869,11.75,87,0.55,302,1.9,27,0.68,338,8.45,9,0.82,12,1.09,76,6.91,-,-,1,0.09
Chiba,24827,117.66,309,2.32,448,3.37,8331,62.64,9926,74.63,888,6.68,295,2.22,358,2.69,1233,9.27,60,0.45,243,1.83,6,0.18,281,8.26,8,0.89,7,0.78,70,7.78,-,-,1,0.11
Tokyo,33387,81.63,535,2.08,884,3.44,10927,42.52,26801,104.28,1771,6.89,663,2.58,374,1.46,2776,10.8,317,1.23,397,1.54,6,0.16,181,4.89,17,0.71,22,0.92,152,6.33,21,0.88,4,0.17
Kanagawa,29720,84.91,517,2.3,665,2.96,9769,43.42,18005,80.02,1532,6.81,466,2.07,360,1.6,2094,9.31,97,0.43,344,1.53,4,0.08,704,14.08,7,0.64,12,1.09,44,4,1,0.09,3,0.27
Niigata,9882,109.8,408,7.16,951,16.68,6371,111.77,3479,61.04,586,10.28,141,2.47,161,2.82,720,12.63,25,0.44,87,1.53,17,1.7,83,8.3,5,0.38,4,0.31,86,6.62,2,0.15,1,0.08
Toyama,3564,74.25,73,2.52,299,10.31,2851,98.31,3545,122.24,219,7.55,82,2.83,227,7.83,301,10.38,64,2.21,24,0.83,-,-,15,2.5,1,0.2,7,1.4,50,10,-,-,4,0.8
Ishikawa,6189,128.94,104,3.59,221,7.62,3256,112.28,3451,119,400,13.79,58,2,234,8.07,287,9.9,8,0.28,25,0.86,-,-,10,1.43,-,-,5,1,55,11,-,-,1,0.2
