"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2015",,,,,,"Data collected as of August 19, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1149430,233.48,33790,10.75,46998,14.95,268521,85.41,647564,205.97,49195,15.65,264541,84.14,63146,20.08,54357,17.29,1581,0.5,73966,23.53,40601,12.91,306,0.45,12616,18.39,268,0.56,598,1.26,4076,8.56,216,0.45,3980,8.36
Hokkaido,41437,182.54,2177,15.22,3924,27.44,16675,116.61,16347,114.31,2429,16.99,6463,45.2,2758,19.29,1565,10.94,59,0.41,1309,9.15,2517,17.6,7,0.26,366,13.56,1,0.05,9,0.41,191,8.68,2,0.09,388,17.64
Aomori,14799,227.68,408,9.71,425,10.12,2131,50.74,5266,125.38,501,11.93,2825,67.26,823,19.6,616,14.67,2,0.05,211,5.02,97,2.31,-,-,174,15.82,8,1.33,10,1.67,89,14.83,-,-,120,20
Iwate,15432,241.13,458,11.74,419,10.74,3905,100.13,7837,200.95,651,16.69,1989,51,614,15.74,594,15.23,8,0.21,511,13.1,140,3.59,2,0.14,166,11.86,3,0.16,3,0.16,149,7.84,2,0.11,136,7.16
Miyagi,19606,208.57,391,6.74,965,16.64,5016,86.48,14426,248.72,1088,18.76,5738,98.93,1445,24.91,1224,21.1,1,0.02,1186,20.45,253,4.36,3,0.25,124,10.33,2,0.17,3,0.25,232,19.33,1,0.08,76,6.33
Akita,13227,249.57,127,3.74,432,12.71,1669,49.09,4374,128.65,396,11.65,713,20.97,275,8.09,282,8.29,4,0.12,263,7.74,294,8.65,10,1.43,65,9.29,1,0.13,-,-,109,13.63,-,-,72,9
Yamagata,10045,213.72,143,4.93,766,26.41,4185,144.31,8510,293.45,565,19.48,3667,126.45,664,22.9,692,23.86,12,0.41,478,16.48,701,24.17,-,-,36,5.14,5,0.5,7,0.7,30,3,12,1.2,49,4.9
Fukushima,19040,250.53,810,18,612,13.6,3533,78.51,8425,187.22,684,15.2,5576,123.91,1556,34.58,953,21.18,13,0.29,642,14.27,805,17.89,-,-,248,20.67,3,0.43,4,0.57,120,17.14,2,0.29,126,18
Ibaraki,22500,187.5,416,5.55,937,12.49,6413,85.51,15044,200.59,1148,15.31,3624,48.32,1736,23.15,899,11.99,18,0.24,1196,15.95,978,13.04,9,0.53,467,27.47,3,0.23,3,0.23,47,3.62,1,0.08,37,2.85
Tochigi,13910,183.03,294,6.13,280,5.83,2871,59.81,4960,103.33,537,11.19,5135,106.98,1129,23.52,889,18.52,38,0.79,349,7.27,419,8.73,5,0.42,163,13.58,2,0.29,10,1.43,71,10.14,3,0.43,44,6.29
Gunma,19531,201.35,426,7.22,559,9.47,5839,98.97,11758,199.29,578,9.8,6506,110.27,1303,22.08,1025,17.37,28,0.47,796,13.49,693,11.75,1,0.08,741,57,5,0.63,5,0.63,80,10,-,-,185,23.13
Saitama,41306,168.6,1022,6.59,2808,18.12,15511,100.07,37249,240.32,3028,19.54,17695,114.16,6318,40.76,3138,20.25,45,0.29,3438,22.18,3511,22.65,30,0.75,858,21.45,4,0.4,28,2.8,119,11.9,19,1.9,112,11.2
Chiba,48146,229.27,581,4.37,2384,17.92,12531,94.22,24376,183.28,1828,13.74,6627,49.83,3814,28.68,2134,16.05,78,0.59,3414,25.67,2123,15.96,9,0.27,809,24.52,13,1.44,27,3,27,3,10,1.11,52,5.78
Tokyo,57859,141.46,1553,6.02,3543,13.73,24390,94.53,58039,224.96,4345,16.84,23748,92.05,8203,31.79,5075,19.67,192,0.74,5334,20.67,2329,9.03,10,0.26,609,16.03,29,1.16,37,1.48,194,7.76,24,0.96,85,3.4
Kanagawa,53889,166.32,1036,5.08,2451,12.01,15888,77.88,40884,200.41,4263,20.9,18008,88.27,5559,27.25,3867,18.96,55,0.27,4265,20.91,1506,7.38,48,1.04,1260,27.39,12,1.2,19,1.9,114,11.4,1,0.1,123,12.3
Niigata,26597,282.95,664,11.25,2198,37.25,7148,121.15,11552,195.8,1132,19.19,6122,103.76,1083,18.36,1126,19.08,41,0.69,843,14.29,501,8.49,16,1.6,169,16.9,2,0.15,-,-,84,6.46,53,4.08,45,3.46
Toyama,11381,237.1,149,5.14,613,21.14,2516,86.76,6927,238.86,696,24,2237,77.14,121,4.17,398,13.72,3,0.1,764,26.34,264,9.1,1,0.14,41,5.86,2,0.4,-,-,186,37.2,-,-,33,6.6
Ishikawa,13470,280.63,188,6.48,513,17.69,3885,133.97,6912,238.34,475,16.38,2705,93.28,831,28.66,436,15.03,4,0.14,490,16.9,1054,36.34,-,-,67,9.57,1,0.2,1,0.2,124,24.8,-,-,74,14.8
Fukui,11198,349.94,256,11.64,374,17,2020,91.82,7295,331.59,239,10.86,3083,140.14,104,4.73,353,16.05,12,0.55,505,22.95,480,21.82,1,0.33,23,7.67,13,2.17,8,1.33,16,2.67,-,-,104,17.33
Yamanashi,8723,218.08,99,4.13,122,5.08,1755,73.13,4389,182.88,250,10.42,1299,54.13,478,19.92,264,11,3,0.13,783,32.63,41,1.71,1,0.11,97,10.78,2,0.2,35,3.5,33,3.3,-,-,68,6.8
