"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35th week, 2015",,,,,,"Data collected as of September 2, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1149994,233.6,36615,11.65,49554,15.76,276055,87.8,667125,212.19,50759,16.14,300196,95.48,66496,21.15,58051,18.46,1698,0.54,83166,26.45,43862,13.95,334,0.49,14166,20.65,295,0.62,666,1.4,4534,9.53,233,0.49,3990,8.38
Hokkaido,41451,183.41,2283,16.08,4017,28.29,17260,121.55,16700,117.61,2492,17.55,8822,62.13,2930,20.63,1691,11.91,65,0.46,2037,14.35,2665,18.77,7,0.26,402,14.89,2,0.09,11,0.5,208,9.45,2,0.09,389,17.68
Aomori,14799,227.68,426,10.14,439,10.45,2183,51.98,5397,128.5,514,12.24,3939,93.79,844,20.1,656,15.62,3,0.07,375,8.93,106,2.52,-,-,189,17.18,8,1.33,10,1.67,94,15.67,-,-,120,20
Iwate,15433,241.14,534,13.69,435,11.15,4031,103.36,8112,208,662,16.97,2898,74.31,650,16.67,646,16.56,9,0.23,671,17.21,147,3.77,2,0.14,174,12.43,4,0.21,5,0.26,162,8.53,3,0.16,137,7.21
Miyagi,19606,208.57,458,7.9,986,17,5145,88.71,14687,253.22,1128,19.45,7107,122.53,1468,25.31,1302,22.45,1,0.02,1494,25.76,265,4.57,3,0.25,133,11.08,2,0.17,3,0.25,243,20.25,1,0.08,77,6.42
Akita,13227,249.57,131,3.85,471,13.85,1721,50.62,4498,132.29,405,11.91,1357,39.91,297,8.74,293,8.62,4,0.12,358,10.53,302,8.88,10,1.43,75,10.71,1,0.13,-,-,114,14.25,-,-,73,9.13
Yamagata,10045,213.72,162,5.59,780,26.9,4279,147.55,8677,299.21,582,20.07,4454,153.59,709,24.45,739,25.48,12,0.41,755,26.03,768,26.48,-,-,41,5.86,5,0.5,8,0.8,33,3.3,13,1.3,50,5
Fukushima,19045,250.59,882,19.6,650,14.44,3630,80.67,8560,190.22,723,16.07,6262,139.16,1621,36.02,1018,22.62,14,0.31,766,17.02,845,18.78,-,-,266,22.17,3,0.43,4,0.57,125,17.86,2,0.29,126,18
Ibaraki,22510,187.58,434,5.79,969,12.92,6552,87.36,15492,206.56,1182,15.76,4479,59.72,1821,24.28,953,12.71,21,0.28,1397,18.63,1089,14.52,9,0.53,538,31.65,4,0.31,3,0.23,51,3.92,1,0.08,37,2.85
Tochigi,13910,183.03,302,6.29,285,5.94,2929,61.02,5074,105.71,553,11.52,5522,115.04,1184,24.67,943,19.65,39,0.81,376,7.83,466,9.71,5,0.42,174,14.5,2,0.29,11,1.57,80,11.43,3,0.43,44,6.29
Gunma,19532,201.36,432,7.32,583,9.88,6028,102.17,12103,205.14,622,10.54,7176,121.63,1358,23.02,1093,18.53,34,0.58,946,16.03,756,12.81,1,0.08,812,62.46,5,0.63,6,0.75,86,10.75,-,-,185,23.13
Saitama,41310,167.93,1062,6.85,2978,19.21,15904,102.61,38270,246.9,3101,20.01,19512,125.88,6591,42.52,3344,21.57,51,0.33,3858,24.89,3813,24.6,33,0.83,959,23.98,4,0.4,29,2.9,128,12.8,19,1.9,113,11.3
Chiba,48162,229.34,651,4.89,2489,18.71,12845,96.58,24972,187.76,1910,14.36,8111,60.98,3969,29.84,2271,17.08,88,0.66,3855,28.98,2305,17.33,10,0.3,897,27.18,14,1.56,34,3.78,29,3.22,10,1.11,52,5.78
Tokyo,57865,141.48,1733,6.72,3769,14.61,24921,96.59,59701,231.4,4459,17.28,26506,102.74,8426,32.66,5380,20.85,197,0.76,5964,23.12,2526,9.79,10,0.26,679,17.87,31,1.24,40,1.6,234,9.36,28,1.12,85,3.4
Kanagawa,53895,166.86,1113,5.46,2594,12.72,16230,79.56,41973,205.75,4377,21.46,20521,100.59,5679,27.84,4113,20.16,56,0.27,4796,23.51,1647,8.07,53,1.15,1364,29.65,13,1.3,21,2.1,129,12.9,1,0.1,123,12.3
Niigata,26600,282.98,758,12.85,2271,38.49,7277,123.34,11897,201.64,1164,19.73,8008,135.73,1114,18.88,1193,20.22,44,0.75,1210,20.51,547,9.27,16,1.6,188,18.8,2,0.15,-,-,88,6.77,59,4.54,45,3.46
Toyama,11382,237.13,150,5.17,624,21.52,2588,89.24,7165,247.07,719,24.79,2635,90.86,128,4.41,427,14.72,5,0.17,921,31.76,284,9.79,1,0.14,46,6.57,2,0.4,-,-,198,39.6,-,-,33,6.6
Ishikawa,13473,280.69,205,7.07,533,18.38,3960,136.55,7041,242.79,489,16.86,2884,99.45,849,29.28,467,16.1,5,0.17,521,17.97,1154,39.79,-,-,72,10.29,1,0.2,1,0.2,141,28.2,-,-,74,14.8
Fukui,11198,349.94,264,12,393,17.86,2087,94.86,7482,340.09,245,11.14,3211,145.95,115,5.23,386,17.55,12,0.55,562,25.55,500,22.73,1,0.33,26,8.67,15,2.5,10,1.67,18,3,-,-,104,17.33
Yamanashi,8723,218.08,99,4.13,122,5.08,1807,75.29,4472,186.33,259,10.79,1469,61.21,517,21.54,288,12,3,0.13,886,36.92,47,1.96,1,0.11,106,11.78,3,0.3,44,4.4,38,3.8,-,-,68,6.8
Nagano,22354,259.93,350,6.6,423,7.98,4763,89.87,11633,219.49,668,12.6,4812,90.79,1624,30.64,753,14.21,34,0.64,1388,26.19,182,3.43,2,0.2,128,12.8,3,0.27,5,0.45,171,15.55,-,-,83,7.55
Gifu,21874,254.35,276,5.31,757,14.56,1888,36.31,7503,144.29,426,8.19,1213,23.33,988,19,703,13.52,12,0.23,1685,32.4,115,2.21,-,-,65,5.91,1,0.2,10,2,116,23.2,-,-,77,15.4
Shizuoka,33482,242.62,701,7.97,1331,15.13,10919,124.08,17565,199.6,1243,14.13,6832,77.64,1964,22.32,1423,16.17,44,0.5,2783,31.63,648,7.36,5,0.24,204,9.71,5,0.5,11,1.1,138,13.8,30,3,55,5.5
Aichi,64395,330.23,946,5.23,2378,13.14,13376,73.9,33201,183.43,2116,11.69,8156,45.06,2053,11.34,2809,15.52,80,0.44,7191,39.73,1873,10.35,19,0.56,312,9.18,16,1.14,8,0.57,143,10.21,-,-,182,13
Mie,17237,239.4,319,7.09,846,18.8,2971,66.02,8638,191.96,534,11.87,3203,71.18,524,11.64,880,19.56,32,0.71,3323,73.84,127,2.82,3,0.25,44,3.67,11,1.22,11,1.22,94,10.44,-,-,11,1.22
Shiga,13632,262.15,248,8,401,12.94,2180,70.32,6322,203.94,568,18.32,3230,104.19,1308,42.19,448,14.45,17,0.55,1229,39.65,293,9.45,-,-,50,6.25,5,0.71,9,1.29,52,7.43,-,-,41,5.86
Kyoto,21727,178.09,282,3.86,948,12.99,3445,47.19,12419,170.12,765,10.48,8860,121.37,985,13.49,929,12.73,18,0.25,918,12.58,616,8.44,1,0.06,178,10.47,3,0.5,4,0.67,26,4.33,5,0.83,99,16.5
Osaka,52775,171.91,3076,15.46,3038,15.27,16417,82.5,41741,209.75,3530,17.74,24476,122.99,3473,17.45,3751,18.85,136,0.68,4322,21.72,2076,10.43,26,0.51,602,11.8,7,0.41,24,1.41,295,17.35,4,0.24,256,15.06
Hyogo,43070,217.53,1502,11.73,2379,18.59,9154,71.52,31451,245.71,2032,15.88,15528,121.31,1897,14.82,2131,16.65,90,0.7,2367,18.49,1371,10.71,15,0.43,900,25.71,14,1.08,23,1.77,65,5,-,-,73,5.62
Nara,7966,147.52,418,12.29,379,11.15,1992,58.59,4880,143.53,347,10.21,4062,119.47,262,7.71,500,14.71,6,0.18,619,18.21,146,4.29,5,0.56,103,11.44,8,1.33,3,0.5,28,4.67,1,0.17,108,18
Wakayama,9309,189.98,599,19.97,293,9.77,1118,37.27,3636,121.2,360,12,2991,99.7,219,7.3,433,14.43,7,0.23,1239,41.3,97,3.23,3,0.75,40,10,8,0.73,5,0.45,52,4.73,3,0.27,76,6.91
Tottori,7341,253.14,73,3.84,233,12.26,3643,191.74,4327,227.74,174,9.16,1906,100.32,89,4.68,300,15.79,28,1.47,316,16.63,127,6.68,-,-,34,11.33,2,0.4,9,1.8,16,3.2,-,-,95,19
Shimane,8410,221.32,305,13.26,571,24.83,2681,116.57,4852,210.96,275,11.96,2305,100.22,73,3.17,491,21.35,3,0.13,138,6,265,11.52,2,0.67,33,11,3,0.38,28,3.5,49,6.13,1,0.13,75,9.38
Okayama,25542,307.73,332,6.15,426,7.89,2294,42.48,12381,229.28,637,11.8,4017,74.39,314,5.81,729,13.5,26,0.48,1207,22.35,709,13.13,5,0.42,160,13.33,2,0.4,5,1,9,1.8,1,0.2,29,5.8
Hiroshima,29761,261.06,724,10.2,1420,20,6621,93.25,17147,241.51,927,13.06,4281,60.3,367,5.17,1194,16.82,48,0.68,1797,25.31,1876,26.42,12,0.67,485,26.94,2,0.1,25,1.19,138,6.57,5,0.24,117,5.57
Yamaguchi,22606,332.44,1125,23.94,389,8.28,5635,119.89,11316,240.77,945,20.11,4560,97.02,329,7,1165,24.79,13,0.28,831,17.68,168,3.57,-,-,103,11.44,2,0.22,1,0.11,56,6.22,-,-,42,4.67
Tokushima,8476,229.08,482,20.96,297,12.91,1019,44.3,4663,202.74,342,14.87,3543,154.04,61,2.65,612,26.61,10,0.43,312,13.57,44,1.91,-,-,13,3.25,3,0.43,3,0.43,26,3.71,-,-,29,4.14
Kagawa,10103,214.96,354,12.64,468,16.71,1545,55.18,5853,209.04,301,10.75,3743,133.68,334,11.93,539,19.25,26,0.93,804,28.71,157,5.61,6,1.2,55,11,1,0.2,9,1.8,117,23.4,3,0.6,66,13.2
Ehime,14717,241.26,671,18.14,288,7.78,4001,108.14,11246,303.95,471,12.73,2000,54.05,172,4.65,905,24.46,14,0.38,2208,59.68,455,12.3,1,0.13,424,53,2,0.33,3,0.5,12,2,-,-,16,2.67
Kochi,15320,319.17,490,16.33,122,4.07,2010,67,4695,156.5,377,12.57,1731,57.7,115,3.83,466,15.53,11,0.37,785,26.17,567,18.9,-,-,13,4.33,9,1.13,10,1.25,189,23.63,33,4.13,63,7.88
Fukuoka,66339,335.05,3614,30.12,2313,19.28,14594,121.62,32879,273.99,2531,21.09,14552,121.27,3847,32.06,3279,27.33,105,0.88,6623,55.19,3586,29.88,16,0.62,976,37.54,23,1.53,56,3.73,84,5.6,-,-,30,2
Saga,12767,335.97,502,21.83,316,13.74,1642,71.39,4411,191.78,458,19.91,2799,121.7,532,23.13,606,26.35,8,0.35,1036,45.04,1357,59,-,-,26,6.5,2,0.33,10,1.67,71,11.83,-,-,84,14
Nagasaki,21873,317,816,18.55,344,7.82,4025,91.48,8535,193.98,487,11.07,3795,86.25,928,21.09,693,15.75,9,0.2,527,11.98,1257,28.57,19,2.38,192,24,7,0.58,32,2.67,129,10.75,-,-,85,7.08
Kumamoto,26131,326.64,757,15.14,546,10.92,2224,44.48,16018,320.36,822,16.44,5542,110.84,434,8.68,1347,26.94,21,0.42,1641,32.82,829,16.58,-,-,751,83.44,2,0.13,31,2.07,87,5.8,-,-,75,5
Oita,22731,391.91,713,19.81,477,13.25,3430,95.28,16058,446.06,1100,30.56,3779,104.97,1540,42.78,1120,31.11,33,0.92,1966,54.61,657,18.25,-,-,221,44.2,1,0.09,4,0.36,49,4.45,-,-,52,4.73
Miyazaki,25631,434.42,1490,41.39,947,26.31,2602,72.28,11661,323.92,918,25.5,5079,141.08,150,4.17,1214,33.72,16,0.44,1961,54.47,321,8.92,4,0.67,482,80.33,-,-,10,1.43,1,0.14,1,0.14,33,4.71
Kagoshima,32754,352.19,1673,30.42,1239,22.53,7041,128.02,16588,301.6,963,17.51,6050,110,1408,25.6,989,17.98,59,1.07,1890,34.36,418,7.6,1,0.14,146,20.86,4,0.33,3,0.25,35,2.92,-,-,27,2.25
Okinawa,29505,508.71,1698,49.94,597,17.56,1448,42.59,3233,95.09,856,25.18,2278,67,236,6.94,439,12.91,129,3.79,312,9.18,3293,96.85,27,2.7,285,28.5,28,4,74,10.57,87,12.43,4,0.57,76,10.86
