"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36th week, 2015",,,,,,"Data collected as of September 9, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1150304,233.66,38700,12.31,50674,16.12,280629,89.26,678007,215.65,51528,16.39,316377,100.63,68311,21.73,59935,19.06,1765,0.56,86956,27.66,45384,14.44,340,0.5,14911,21.74,300,0.63,702,1.47,4779,10.04,244,0.51,3993,8.39
Hokkaido,41462,183.46,2361,16.63,4064,28.62,17662,124.38,16891,118.95,2507,17.65,9782,68.89,2998,21.11,1741,12.26,65,0.46,2376,16.73,2735,19.26,7,0.26,412,15.26,2,0.09,11,0.5,224,10.18,2,0.09,390,17.73
Aomori,14799,227.68,456,10.86,448,10.67,2218,52.81,5455,129.88,520,12.38,4416,105.14,855,20.36,672,16,3,0.07,447,10.64,110,2.62,-,-,195,17.73,8,1.33,11,1.83,99,16.5,-,-,120,20
Iwate,15434,241.16,578,14.82,443,11.36,4114,105.49,8226,210.92,676,17.33,3271,83.87,678,17.38,660,16.92,9,0.23,743,19.05,151,3.87,2,0.14,179,12.79,4,0.21,5,0.26,168,8.84,3,0.16,137,7.21
Miyagi,19606,208.57,505,8.71,993,17.12,5252,90.55,14834,255.76,1139,19.64,7824,134.9,1486,25.62,1349,23.26,1,0.02,1619,27.91,271,4.67,3,0.25,137,11.42,3,0.25,3,0.25,248,20.67,1,0.08,77,6.42
Akita,13227,249.57,135,3.97,480,14.12,1749,51.44,4565,134.26,411,12.09,1670,49.12,313,9.21,299,8.79,4,0.12,398,11.71,305,8.97,10,1.43,81,11.57,1,0.13,-,-,120,15,-,-,73,9.13
Yamagata,10045,213.72,201,6.93,792,27.31,4332,149.38,8764,302.21,587,20.24,4836,166.76,744,25.66,766,26.41,13,0.45,903,31.14,803,27.69,-,-,42,6,5,0.5,8,0.8,34,3.4,13,1.3,50,5
Fukushima,19046,250.61,926,20.58,658,14.62,3700,82.22,8626,191.69,735,16.33,6561,145.8,1659,36.87,1059,23.53,14,0.31,823,18.29,864,19.2,-,-,285,23.75,3,0.43,5,0.71,127,18.14,3,0.43,126,18
Ibaraki,22531,187.76,449,5.99,981,13.08,6627,88.36,15764,210.19,1193,15.91,4820,64.27,1895,25.27,982,13.09,22,0.29,1455,19.4,1135,15.13,9,0.53,556,32.71,3,0.23,3,0.23,52,4,1,0.08,37,2.85
