"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2017",,,,,,"Data collected as of June 21, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1356723,273.86,19971,6.31,36275,11.47,186854,59.07,462806,146.32,28569,9.03,34271,10.83,6114,1.93,33842,10.7,637,0.2,7686,2.43,44796,14.16,216,0.31,9927,14.3,233,0.49,381,0.8,3942,8.26,125,0.26,4606,9.66
Hokkaido,49084,219.13,1941,13.77,2618,18.57,13321,94.48,10881,77.17,1595,11.31,287,2.04,187,1.33,940,6.67,39,0.28,95,0.67,1401,9.94,8,0.29,236,8.43,5,0.22,13,0.57,119,5.17,-,-,176,7.65
Aomori,15330,239.53,121,2.95,356,8.68,2022,49.32,4684,114.24,256,6.24,166,4.05,170,4.15,436,10.63,2,0.05,64,1.56,289,7.05,1,0.09,75,6.82,8,1.33,2,0.33,90,15,-,-,60,10
Iwate,14468,226.06,132,3.38,723,18.54,2872,73.64,5351,137.21,193,4.95,43,1.1,100,2.56,455,11.67,-,-,9,0.23,711,18.23,4,0.29,97,6.93,4,0.21,2,0.11,141,7.42,-,-,102,5.37
Miyagi,27020,284.42,276,4.68,753,12.76,4093,69.37,6958,117.93,582,9.86,115,1.95,77,1.31,763,12.93,6,0.1,30,0.51,266,4.51,-,-,56,4.67,2,0.17,1,0.08,124,10.33,-,-,51,4.25
Akita,13125,243.06,119,3.4,158,4.51,1360,38.86,3106,88.74,269,7.69,676,19.31,32,0.91,190,5.43,7,0.2,32,0.91,83,2.37,7,1,30,4.29,1,0.13,-,-,110,13.75,1,0.13,56,7
Yamagata,11406,242.68,146,4.87,310,10.33,4199,139.97,3857,128.57,364,12.13,76,2.53,188,6.27,474,15.8,13,0.43,31,1.03,405,13.5,-,-,43,5.38,1,0.1,6,0.6,93,9.3,-,-,73,7.3
Fukushima,23740,308.31,387,8.41,381,8.28,2987,64.93,4971,108.07,541,11.76,33,0.72,252,5.48,680,14.78,6,0.13,28,0.61,295,6.41,1,0.08,231,19.25,5,0.71,6,0.86,55,7.86,4,0.57,217,31
Ibaraki,30820,256.83,182,2.43,631,8.41,4763,63.51,8864,118.19,612,8.16,140,1.87,108,1.44,481,6.41,13,0.17,37,0.49,405,5.4,4,0.24,399,23.47,2,0.15,-,-,64,4.92,-,-,122,9.38
