"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25th week, 2020",,,,,,"Data collected as of June 24, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562845,114.07,12074,3.83,18744,5.95,138654,43.99,243870,77.37,19349,6.14,7571,2.4,17069,5.42,26167,8.3,1998,0.63,3765,1.19,103,0.15,4946,7.13,216,0.45,216,0.45,2744,5.75,42,0.09,203,0.43
Hokkaido,26990,122.68,894,6.53,944,6.89,6928,50.57,3829,27.95,741,5.41,83,0.61,1421,10.37,762,5.56,39,0.28,85,0.62,7,0.25,312,11.14,7,0.32,6,0.27,166,7.55,1,0.05,23,1.05
Aomori,5298,81.51,187,4.45,163,3.88,1381,32.88,3466,82.52,208,4.95,266,6.33,361,8.6,359,8.55,7,0.17,23,0.55,1,0.09,59,5.36,-,-,-,-,36,6,-,-,2,0.33
Iwate,9107,140.11,168,4.1,224,5.46,2861,69.78,3115,75.98,236,5.76,233,5.68,209,5.1,393,9.59,13,0.32,51,1.24,-,-,98,7,2,0.11,1,0.05,53,2.79,-,-,5,0.26
Miyagi,7747,82.41,400,6.9,327,5.64,3167,54.6,4092,70.55,402,6.93,282,4.86,155,2.67,591,10.19,14,0.24,61,1.05,1,0.08,41,3.42,2,0.17,-,-,146,12.17,1,0.08,2,0.17
Akita,7132,134.57,57,1.68,112,3.29,669,19.68,1828,53.76,78,2.29,169,4.97,87,2.56,164,4.82,4,0.12,22,0.65,4,0.67,22,3.67,1,0.13,-,-,19,2.38,1,0.13,2,0.25
Yamagata,4164,92.53,126,4.34,349,12.03,2630,90.69,2144,73.93,280,9.66,25,0.86,220,7.59,359,12.38,14,0.48,20,0.69,-,-,45,6.43,4,0.4,-,-,27,2.7,1,0.1,1,0.1
Fukushima,10236,123.33,314,6.28,322,6.44,2673,53.46,3088,61.76,340,6.8,93,1.86,604,12.08,613,12.26,13,0.26,53,1.06,-,-,180,13.85,4,0.67,-,-,36,6,-,-,2,0.33
Ibaraki,11750,97.92,173,2.31,459,6.12,2896,38.61,5315,70.87,525,7,81,1.08,249,3.32,392,5.23,25,0.33,64,0.85,1,0.06,263,15.47,-,-,4,0.33,115,9.58,-,-,5,0.42
