"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2015",,,,,,"Data collected as of August 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,22353,259.92,349,6.58,368,6.94,4556,85.96,11185,211.04,656,12.38,2532,47.77,1527,28.81,687,12.96,31,0.58,716,13.51,161,3.04,2,0.2,109,10.9,1,0.09,5,0.45,157,14.27,-,-,83,7.55
Gifu,21866,254.26,272,5.23,727,13.98,1819,34.98,7226,138.96,403,7.75,793,15.25,870,16.73,636,12.23,11,0.21,1542,29.65,103,1.98,-,-,60,6,1,0.2,7,1.4,72,14.4,-,-,77,15.4
Shizuoka,33465,242.5,620,7.05,1212,13.77,10374,117.89,16708,189.86,1198,13.61,5939,67.49,1835,20.85,1291,14.67,42,0.48,2488,28.27,556,6.32,3,0.14,176,8.38,3,0.3,10,1,119,11.9,29,2.9,55,5.5
Aichi,64371,330.11,908,5.02,2222,12.28,12859,71.04,31893,176.2,1952,10.78,6354,35.1,1819,10.05,2552,14.1,65,0.36,6622,36.59,1679,9.28,16,0.47,276,8.12,13,0.93,4,0.29,116,8.29,-,-,178,12.71
Mie,17233,239.35,302,6.71,803,17.84,2893,64.29,8214,182.53,501,11.13,2736,60.8,494,10.98,799,17.76,30,0.67,3072,68.27,112,2.49,3,0.25,38,3.17,11,1.22,10,1.11,77,8.56,-,-,11,1.22
Shiga,13628,262.08,242,7.81,365,11.77,2102,67.81,6029,194.48,538,17.35,2737,88.29,1228,39.61,398,12.84,11,0.35,1066,34.39,269,8.68,-,-,40,5,5,0.71,9,1.29,39,5.57,-,-,41,5.86
Kyoto,21720,178.03,263,3.6,870,11.92,3312,45.37,11888,162.85,718,9.84,8290,113.56,900,12.33,852,11.67,14,0.19,782,10.71,545,7.47,1,0.06,157,9.24,3,0.5,4,0.67,17,2.83,4,0.67,98,16.33
Osaka,52756,171.84,2935,14.75,2727,13.7,15811,79.45,39970,200.85,3338,16.77,21461,107.84,3148,15.82,3435,17.26,130,0.65,3481,17.49,1852,9.31,25,0.49,500,9.8,6,0.35,19,1.12,230,13.53,3,0.18,254,14.94
Hyogo,43064,217.49,1467,11.46,2144,16.75,8715,68.09,30083,235.02,1942,15.17,13408,104.75,1757,13.73,1930,15.08,75,0.59,1845,14.41,1236,9.66,12,0.34,798,22.8,14,1.08,19,1.46,59,4.54,-,-,73,5.62
Nara,7964,147.48,405,11.91,342,10.06,1935,56.91,4726,139,340,10,3803,111.85,233,6.85,448,13.18,6,0.18,512,15.06,136,4,5,0.56,99,11,8,1.33,2,0.33,22,3.67,1,0.17,108,18
