"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2015",,,,,,"Data collected as of January 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,264424,55.13,5889,1.93,1843,0.6,7894,2.59,36003,11.82,5137,1.69,1255,0.41,1670,0.55,1783,0.59,36,0.01,105,0.03,1763,0.58,15,0.02,640,0.96,12,0.03,19,0.04,189,0.4,7,0.01,69,0.15
Hokkaido,10383,45.74,487,3.41,281,1.97,448,3.13,508,3.55,275,1.92,86,0.6,63,0.44,61,0.43,-,-,4,0.03,121,0.85,3,0.11,22,0.81,-,-,-,-,5,0.23,-,-,-,-
Aomori,3253,50.05,49,1.17,21,0.5,44,1.05,426,10.14,46,1.1,2,0.05,38,0.9,26,0.62,-,-,2,0.05,1,0.02,-,-,14,1.27,-,-,-,-,6,1,-,-,8,1.33
Iwate,4226,65.02,54,1.35,20,0.5,128,3.2,389,9.73,91,2.28,1,0.03,40,1,14,0.35,-,-,2,0.05,6,0.15,-,-,22,1.57,-,-,-,-,9,0.47,-,-,5,0.26
Miyagi,3900,41.94,117,2.02,18,0.31,117,2.02,753,12.98,97,1.67,19,0.33,116,2,45,0.78,-,-,1,0.02,19,0.33,-,-,1,0.08,-,-,-,-,14,1.17,-,-,1,0.08
Akita,3632,67.26,52,1.49,18,0.51,45,1.29,306,8.74,51,1.46,1,0.03,-,-,13,0.37,1,0.03,-,-,24,0.69,1,0.14,4,0.57,-,-,-,-,10,1.25,-,-,-,-
Yamagata,1479,33.61,31,1.15,29,1.07,125,4.63,316,11.7,70,2.59,59,2.19,9,0.33,18,0.67,1,0.04,-,-,39,1.44,-,-,-,-,-,-,-,-,2,0.2,-,-,-,-
Fukushima,4786,62.97,218,4.84,31,0.69,109,2.42,439,9.76,96,2.13,13,0.29,26,0.58,32,0.71,-,-,-,-,57,1.27,-,-,19,1.58,-,-,-,-,3,0.43,-,-,-,-
Ibaraki,6987,58.23,188,2.51,36,0.48,231,3.08,1275,17,148,1.97,15,0.2,29,0.39,35,0.47,-,-,2,0.03,26,0.35,-,-,32,1.88,-,-,-,-,2,0.15,-,-,-,-
Tochigi,3173,41.75,103,2.15,14,0.29,68,1.42,419,8.73,55,1.15,21,0.44,26,0.54,29,0.6,-,-,-,-,19,0.4,-,-,17,1.42,-,-,1,0.14,6,0.86,-,-,2,0.29
Gunma,4461,51.28,112,2.11,29,0.55,158,2.98,736,13.89,54,1.02,7,0.13,9,0.17,27,0.51,-,-,-,-,35,0.66,-,-,35,3.18,-,-,1,0.13,4,0.5,-,-,4,0.5
Saitama,11440,53.21,255,1.93,70,0.53,358,2.71,1760,13.33,224,1.7,40,0.3,158,1.2,85,0.64,1,0.01,3,0.02,90,0.68,2,0.05,28,0.74,-,-,1,0.1,4,0.4,1,0.1,4,0.4
Chiba,9596,47.04,93,0.73,53,0.42,255,2.01,1460,11.5,191,1.5,32,0.25,93,0.73,51,0.4,3,0.02,4,0.03,79,0.62,-,-,31,0.94,1,0.11,1,0.11,-,-,2,0.22,1,0.11
Tokyo,13615,36.02,242,1.03,94,0.4,532,2.27,2733,11.68,238,1.02,56,0.24,279,1.19,119,0.51,4,0.02,7,0.03,96,0.41,-,-,30,0.88,1,0.04,3,0.12,6,0.24,-,-,3,0.12
