"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2015",,,,,,"Data collected as of January 21, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,448322,92.4,8083,2.62,2575,0.83,13728,4.45,59471,19.26,6789,2.2,1988,0.64,3049,0.99,3102,1,59,0.02,166,0.05,2591,0.84,25,0.04,960,1.42,21,0.04,31,0.07,321,0.68,9,0.02,137,0.29
Hokkaido,13722,60.45,628,4.39,375,2.62,667,4.66,797,5.57,348,2.43,115,0.8,116,0.81,113,0.79,1,0.01,6,0.04,165,1.15,3,0.11,31,1.15,-,-,-,-,8,0.36,-,-,1,0.05
Aomori,5122,78.8,72,1.71,25,0.6,79,1.88,630,15,53,1.26,4,0.1,56,1.33,35,0.83,-,-,3,0.07,2,0.05,-,-,24,2.18,-,-,-,-,10,1.67,-,-,10,1.67
Iwate,5965,91.77,67,1.68,24,0.6,200,5,665,16.63,119,2.98,2,0.05,58,1.45,30,0.75,-,-,3,0.08,13,0.33,-,-,27,1.93,-,-,-,-,14,0.74,-,-,12,0.63
Miyagi,6664,71.66,156,2.69,26,0.45,214,3.69,1335,23.02,130,2.24,30,0.52,195,3.36,66,1.14,-,-,2,0.03,21,0.36,-,-,2,0.17,-,-,2,0.17,22,1.83,-,-,2,0.17
Akita,4986,92.33,57,1.63,26,0.74,81,2.31,517,14.77,64,1.83,1,0.03,1,0.03,15,0.43,1,0.03,-,-,42,1.2,1,0.14,5,0.71,-,-,-,-,13,1.63,-,-,1,0.13
Yamagata,2709,60.2,43,1.54,36,1.29,237,8.46,624,22.29,94,3.36,103,3.68,16,0.57,36,1.29,1,0.04,-,-,54,1.93,-,-,-,-,-,-,-,-,5,0.5,-,-,-,-
Fukushima,7479,98.41,277,6.16,46,1.02,195,4.33,891,19.8,119,2.64,23,0.51,53,1.18,53,1.18,-,-,-,-,93,2.07,-,-,26,2.17,-,-,1,0.14,8,1.14,-,-,2,0.29
Ibaraki,10697,89.14,227,3.03,43,0.57,333,4.44,2007,26.76,191,2.55,26,0.35,43,0.57,46,0.61,-,-,2,0.03,35,0.47,-,-,43,2.53,-,-,-,-,8,0.62,-,-,-,-
