"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2021",,,,,,"Data collected as of March 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,534,0.11,9189,2.91,6262,1.99,22171,7.03,85660,27.17,3767,1.19,1128,0.36,473,0.15,11396,3.61,838,0.27,1131,0.36,24,0.03,1233,1.78,65,0.14,85,0.18,178,0.37,3,0.01,25,0.05
Hokkaido,34,0.15,10,0.07,358,2.56,1810,12.93,1927,13.76,215,1.54,7,0.05,11,0.08,286,2.04,5,0.04,31,0.22,1,0.03,34,1.17,1,0.04,-,-,6,0.26,-,-,2,0.09
Aomori,4,0.06,18,0.43,81,1.93,190,4.52,1212,28.86,42,1,4,0.1,1,0.02,138,3.29,-,-,4,0.1,-,-,8,0.73,-,-,1,0.17,2,0.33,-,-,-,-
Iwate,2,0.03,398,9.95,62,1.55,652,16.3,1268,31.7,89,2.23,3,0.08,3,0.08,181,4.53,3,0.08,14,0.35,-,-,34,2.43,1,0.05,2,0.11,9,0.47,-,-,2,0.11
Miyagi,5,0.05,80,1.38,141,2.43,271,4.67,1523,26.26,132,2.28,11,0.19,8,0.14,254,4.38,1,0.02,35,0.6,-,-,8,0.67,1,0.08,-,-,14,1.17,-,-,1,0.08
Akita,-,-,3,0.09,38,1.12,212,6.24,406,11.94,57,1.68,6,0.18,9,0.26,81,2.38,2,0.06,3,0.09,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Yamagata,65,1.44,1,0.03,106,3.66,411,14.17,1052,36.28,17,0.59,6,0.21,2,0.07,149,5.14,9,0.31,12,0.41,-,-,17,2.13,1,0.1,-,-,-,-,-,-,-,-
Fukushima,14,0.17,97,1.94,130,2.6,533,10.66,1153,23.06,59,1.18,6,0.12,6,0.12,263,5.26,3,0.06,12,0.24,1,0.08,39,3,2,0.29,-,-,1,0.14,-,-,-,-
Ibaraki,8,0.07,2,0.03,88,1.17,415,5.53,1155,15.4,55,0.73,18,0.24,10,0.13,172,2.29,27,0.36,19,0.25,-,-,36,2.12,-,-,2,0.17,13,1.08,-,-,-,-
Tochigi,5,0.07,44,0.92,37,0.77,204,4.25,864,18,42,0.88,17,0.35,8,0.17,219,4.56,13,0.27,23,0.48,1,0.08,35,2.92,1,0.14,4,0.57,16,2.29,-,-,-,-
Gunma,5,0.06,-,-,85,1.57,225,4.17,1310,24.26,34,0.63,7,0.13,7,0.13,228,4.22,5,0.09,32,0.59,-,-,60,4,2,0.22,-,-,1,0.11,-,-,2,0.22
Saitama,15,0.06,13,0.08,333,2.09,810,5.09,3931,24.72,213,1.34,22,0.14,33,0.21,707,4.45,19,0.12,86,0.54,4,0.1,54,1.38,3,0.27,7,0.64,4,0.36,-,-,2,0.18
Chiba,28,0.13,13,0.1,178,1.35,673,5.1,2298,17.41,189,1.43,18,0.14,19,0.14,404,3.06,6,0.05,62,0.47,1,0.03,83,2.52,3,0.33,5,0.56,5,0.56,-,-,2,0.22
Tokyo,27,0.07,141,0.55,263,1.03,856,3.34,7252,28.33,255,1,54,0.21,75,0.29,1006,3.93,26,0.1,96,0.38,-,-,42,1.14,2,0.08,7,0.28,6,0.24,2,0.08,-,-
Kanagawa,17,0.05,38,0.17,165,0.73,923,4.08,4687,20.74,232,1.03,22,0.1,44,0.19,774,3.42,25,0.11,85,0.38,4,0.08,145,2.9,2,0.2,-,-,-,-,-,-,1,0.1
Niigata,13,0.15,-,-,210,3.75,1066,19.04,1147,20.48,105,1.88,3,0.05,16,0.29,219,3.91,3,0.05,31,0.55,8,0.8,5,0.5,4,0.31,5,0.38,11,0.85,-,-,-,-
Toyama,5,0.1,33,1.14,106,3.66,362,12.48,590,20.34,22,0.76,6,0.21,8,0.28,97,3.34,9,0.31,7,0.24,-,-,1,0.14,1,0.2,1,0.2,5,1,-,-,-,-
Ishikawa,-,-,-,-,155,5.34,304,10.48,815,28.1,87,3,1,0.03,1,0.03,132,4.55,-,-,10,0.34,-,-,4,0.57,-,-,-,-,7,1.4,-,-,-,-
