"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2019",,,,,,"Data collected as of January 9, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,1173,16.29,19,0.42,13,0.29,37,0.82,199,4.42,14,0.31,-,-,6,0.13,9,0.2,-,-,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shiga,1231,23.67,12,0.39,5,0.16,11,0.35,51,1.65,18,0.58,1,0.03,4,0.13,5,0.16,1,0.03,2,0.06,-,-,3,0.38,-,-,1,0.14,-,-,-,-,-,-
Kyoto,1810,14.72,12,0.16,19,0.26,42,0.57,172,2.32,17,0.23,9,0.12,14,0.19,1,0.01,1,0.01,2,0.03,-,-,2,0.13,-,-,-,-,-,-,-,-,1,0.14
Osaka,4422,14.64,79,0.4,38,0.19,131,0.66,500,2.51,74,0.37,19,0.1,32,0.16,18,0.09,4,0.02,8,0.04,-,-,7,0.13,-,-,-,-,1,0.06,-,-,2,0.12
Hyogo,1946,9.83,48,0.37,20,0.16,49,0.38,280,2.17,32,0.25,8,0.06,20,0.16,8,0.06,2,0.02,4,0.03,-,-,15,0.44,-,-,1,0.07,4,0.29,-,-,3,0.21
Nara,406,7.38,4,0.12,6,0.18,6,0.18,55,1.62,7,0.21,4,0.12,3,0.09,4,0.12,-,-,1,0.03,-,-,4,0.4,1,0.17,-,-,2,0.33,-,-,-,-
Wakayama,402,8.2,9,0.3,6,0.2,10,0.33,72,2.4,5,0.17,8,0.27,8,0.27,11,0.37,-,-,1,0.03,-,-,-,-,-,-,-,-,2,0.18,-,-,1,0.09
Tottori,296,10.21,12,0.63,7,0.37,44,2.32,75,3.95,6,0.32,3,0.16,1,0.05,1,0.05,-,-,-,-,-,-,11,2.2,-,-,-,-,-,-,-,-,-,-
Shimane,336,8.84,9,0.39,9,0.39,15,0.65,105,4.57,9,0.39,12,0.52,2,0.09,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,730,8.69,20,0.37,8,0.15,32,0.59,380,7.04,10,0.19,2,0.04,3,0.06,11,0.2,-,-,2,0.04,-,-,10,0.83,-,-,-,-,-,-,-,-,-,-
Hiroshima,1059,9.46,29,0.41,15,0.21,50,0.71,286,4.09,27,0.39,1,0.01,8,0.11,4,0.06,2,0.03,8,0.11,-,-,10,0.53,-,-,-,-,2,0.1,-,-,2,0.1
Yamaguchi,633,9.45,27,0.57,8,0.17,61,1.3,205,4.36,13,0.28,4,0.09,12,0.26,16,0.34,1,0.02,5,0.11,-,-,9,1,1,0.11,-,-,2,0.22,-,-,-,-
Tokushima,343,9.27,19,0.83,2,0.09,14,0.61,218,9.48,4,0.17,1,0.04,6,0.26,7,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14
Kagawa,545,11.6,14,0.5,9,0.32,25,0.89,180,6.43,7,0.25,1,0.04,4,0.14,5,0.18,-,-,1,0.04,1,0.2,2,0.4,-,-,-,-,-,-,-,-,-,-
Ehime,478,7.84,11,0.3,9,0.24,37,1,212,5.73,22,0.59,5,0.14,11,0.3,11,0.3,1,0.03,2,0.05,-,-,12,1.5,-,-,-,-,-,-,-,-,-,-
Kochi,1445,30.1,1,0.03,8,0.27,19,0.63,67,2.23,11,0.37,4,0.13,6,0.2,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,2,0.25
Fukuoka,5015,25.33,57,0.48,44,0.37,147,1.23,514,4.28,78,0.65,36,0.3,45,0.38,28,0.23,5,0.04,27,0.23,-,-,30,1.15,1,0.07,-,-,-,-,-,-,-,-
Saga,599,15.36,-,-,5,0.22,15,0.65,50,2.17,21,0.91,6,0.26,4,0.17,7,0.3,2,0.09,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagasaki,1358,19.4,12,0.27,14,0.32,33,0.75,117,2.66,21,0.48,6,0.14,8,0.18,3,0.07,-,-,1,0.02,-,-,7,0.88,-,-,1,0.08,-,-,-,-,1,0.08
Kumamoto,1757,21.96,7,0.14,15,0.3,32,0.64,203,4.06,25,0.5,11,0.22,1,0.02,13,0.26,-,-,7,0.14,-,-,9,1,-,-,-,-,-,-,-,-,-,-
Oita,934,16.1,12,0.33,17,0.47,38,1.06,235,6.53,7,0.19,3,0.08,4,0.11,13,0.36,1,0.03,19,0.53,-,-,5,1,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,787,13.57,6,0.17,23,0.64,42,1.17,239,6.64,19,0.53,5,0.14,12,0.33,16,0.44,1,0.03,4,0.11,-,-,19,3.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,1670,18.15,30,0.56,51,0.94,91,1.69,331,6.13,44,0.81,3,0.06,5,0.09,12,0.22,1,0.02,10,0.19,-,-,11,1.57,-,-,-,-,-,-,-,-,-,-
Okinawa,1655,28.53,6,0.18,4,0.12,49,1.44,83,2.44,26,0.76,12,0.35,12,0.35,8,0.24,2,0.06,4,0.12,-,-,7,0.78,-,-,-,-,2,0.29,-,-,-,-
