"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2016",,,,,,"Data collected as of March 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,18559,213.32,158,2.98,140,2.64,673,12.7,1946,36.72,93,1.75,26,0.49,135,2.55,100,1.89,7,0.13,3,0.06,105,1.98,-,-,18,1.64,-,-,7,1.4,49,9.8,-,-,4,0.8
Shizuoka,26075,187.59,389,4.37,246,2.76,4525,50.84,5810,65.28,305,3.43,12,0.13,277,3.11,222,2.49,8,0.09,3,0.03,646,7.26,-,-,61,2.77,2,0.2,5,0.5,64,6.4,13,1.3,3,0.3
Aichi,50762,260.32,810,4.48,371,2.05,3679,20.33,9123,50.4,465,2.57,62,0.34,898,4.96,484,2.67,16,0.09,12,0.07,505,2.79,3,0.09,93,2.74,4,0.29,2,0.14,110,7.86,-,-,39,2.79
Mie,12873,178.79,311,6.91,133,2.96,590,13.11,3110,69.11,158,3.51,9,0.2,258,5.73,144,3.2,-,-,4,0.09,87,1.93,-,-,14,1.17,2,0.22,3,0.33,54,6,3,0.33,3,0.33
Shiga,8420,158.87,171,5.34,46,1.44,351,10.97,2081,65.03,179,5.59,29,0.91,59,1.84,72,2.25,-,-,2,0.06,95,2.97,-,-,12,1.5,-,-,2,0.29,16,2.29,-,-,24,3.43
Kyoto,19289,158.11,151,2.04,183,2.47,1022,13.81,4079,55.12,213,2.88,13,0.18,280,3.78,138,1.86,4,0.05,13,0.18,501,6.77,1,0.06,32,1.88,-,-,1,0.14,42,6,-,-,33,4.71
Osaka,57082,185.93,1136,5.68,668,3.34,3788,18.94,9891,49.46,763,3.82,36,0.18,828,4.14,631,3.16,12,0.06,42,0.21,1159,5.8,2,0.04,150,2.88,3,0.18,3,0.18,150,8.82,-,-,78,4.59
Hyogo,35894,180.37,835,6.47,566,4.39,2339,18.13,7576,58.73,594,4.6,28,0.22,488,3.78,302,2.34,7,0.05,11,0.09,812,6.29,1,0.03,111,3.17,2,0.18,1,0.09,33,3,-,-,62,5.64
Nara,8752,162.07,227,6.68,119,3.5,534,15.71,1720,50.59,80,2.35,3,0.09,231,6.79,117,3.44,3,0.09,2,0.06,276,8.12,-,-,27,3,3,0.5,1,0.17,61,10.17,-,-,42,7
Wakayama,6326,126.52,255,8.23,109,3.52,244,7.87,803,25.9,75,2.42,-,-,390,12.58,81,2.61,-,-,2,0.06,99,3.19,4,1,13,3.25,-,-,1,0.09,21,1.91,-,-,26,2.36
Tottori,3270,112.76,51,2.68,171,9,1168,61.47,1111,58.47,22,1.16,4,0.21,219,11.53,63,3.32,1,0.05,-,-,15,0.79,-,-,22,7.33,1,0.2,1,0.2,39,7.8,1,0.2,77,15.4
Shimane,3407,89.66,172,7.48,211,9.17,735,31.96,1950,84.78,46,2,7,0.3,59,2.57,93,4.04,-,-,15,0.65,126,5.48,-,-,8,2.67,1,0.13,4,0.5,33,4.13,2,0.25,38,4.75
Okayama,13266,157.93,210,3.89,102,1.89,610,11.3,3357,62.17,143,2.65,14,0.26,174,3.22,118,2.19,2,0.04,5,0.09,583,10.8,2,0.17,70,5.83,1,0.2,3,0.6,14,2.8,-,-,15,3
Hiroshima,22869,200.61,306,4.31,222,3.13,1342,18.9,4445,62.61,216,3.04,14,0.2,594,8.37,199,2.8,14,0.2,15,0.21,391,5.51,2,0.11,118,6.21,2,0.1,-,-,75,3.57,-,-,89,4.24
Yamaguchi,14615,211.81,552,11.5,134,2.79,1428,29.75,2994,62.38,119,2.48,42,0.88,360,7.5,193,4.02,7,0.15,7,0.15,267,5.56,-,-,73,8.11,-,-,-,-,23,2.56,-,-,28,3.11
Tokushima,4654,122.47,458,19.91,98,4.26,261,11.35,1956,85.04,62,2.7,3,0.13,54,2.35,101,4.39,1,0.04,2,0.09,62,2.7,-,-,6,1.5,1,0.14,-,-,8,1.14,-,-,36,5.14
Kagawa,7503,159.64,148,5.29,184,6.57,311,11.11,2114,75.5,59,2.11,1,0.04,133,4.75,87,3.11,5,0.18,5,0.18,75,2.68,-,-,11,2.2,1,0.2,-,-,25,5,-,-,55,11
Ehime,8766,143.7,373,10.08,90,2.43,1105,29.86,3762,101.68,79,2.14,11,0.3,197,5.32,187,5.05,4,0.11,10,0.27,74,2,1,0.13,130,16.25,1,0.17,3,0.5,9,1.5,-,-,22,3.67
Kochi,6185,128.85,359,11.97,20,0.67,635,21.17,1774,59.13,64,2.13,7,0.23,53,1.77,71,2.37,21,0.7,2,0.07,148,4.93,-,-,3,1,-,-,2,0.25,46,5.75,16,2,79,9.88
Fukuoka,46958,237.16,1075,8.96,684,5.7,3373,28.11,8294,69.12,679,5.66,39,0.33,709,5.91,636,5.3,16,0.13,12,0.1,1361,11.34,7,0.27,360,13.85,5,0.36,13,0.93,185,13.21,-,-,9,0.64
Saga,7081,181.56,205,8.91,125,5.43,416,18.09,721,31.35,81,3.52,9,0.39,180,7.83,127,5.52,1,0.04,2,0.09,600,26.09,-,-,48,12,-,-,1,0.17,34,5.67,-,-,13,2.17
Nagasaki,14289,204.13,403,9.16,157,3.57,1053,23.93,1656,37.64,195,4.43,19,0.43,203,4.61,104,2.36,2,0.05,5,0.11,419,9.52,-,-,133,16.63,1,0.08,8,0.67,52,4.33,-,-,11,0.92
Kumamoto,12201,152.51,588,11.76,207,4.14,726,14.52,5023,100.46,118,2.36,28,0.56,737,14.74,227,4.54,5,0.1,21,0.42,569,11.38,-,-,226,25.11,1,0.07,14,0.93,41,2.73,2,0.13,68,4.53
Oita,11513,198.5,314,8.72,164,4.56,1311,36.42,3593,99.81,198,5.5,10,0.28,437,12.14,170,4.72,9,0.25,1,0.03,74,2.06,-,-,34,6.8,-,-,-,-,32,2.91,-,-,5,0.45
Miyazaki,10946,185.53,490,13.61,190,5.28,872,24.22,3172,88.11,112,3.11,18,0.5,299,8.31,242,6.72,4,0.11,7,0.19,885,24.58,4,0.67,184,30.67,-,-,5,0.71,18,2.57,-,-,22,3.14
Kagoshima,17358,186.65,659,11.98,423,7.69,1956,35.56,4347,79.04,301,5.47,14,0.25,356,6.47,182,3.31,11,0.2,23,0.42,502,9.13,-,-,52,7.43,-,-,1,0.08,15,1.25,-,-,15,1.25
Okinawa,14837,255.81,136,4,60,1.76,314,9.24,1170,34.41,150,4.41,12,0.35,26,0.76,57,1.68,48,1.41,12,0.35,694,20.41,6,0.67,74,8.22,7,1,2,0.29,62,8.86,1,0.14,8,1.14
