"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2022",,,,,,"Data collected as of November 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,29,0.21,1937,21.76,592,6.65,696,7.82,14499,162.91,219,2.46,4993,56.1,58,0.65,1055,11.85,1535,17.25,137,1.54,2,0.09,127,5.77,18,1.8,12,1.2,7,0.7,-,-,-,-
Aichi,163,0.84,7747,42.57,645,3.54,2348,12.9,25124,138.04,372,2.04,8631,47.42,50,0.27,1533,8.42,1603,8.81,195,1.07,1,0.03,115,3.29,16,1.07,17,1.13,-,-,1,0.07,1,0.07
Mie,36,0.51,3759,85.43,320,7.27,375,8.52,7667,174.25,151,3.43,1559,35.43,11,0.25,500,11.36,507,11.52,27,0.61,1,0.09,18,1.64,4,0.44,17,1.89,2,0.22,-,-,-,-
Shiga,26,0.44,914,25.39,177,4.92,393,10.92,4615,128.19,162,4.5,1465,40.69,7,0.19,409,11.36,297,8.25,41,1.14,-,-,16,2,4,0.57,2,0.29,2,0.29,-,-,1,0.14
Kyoto,90,0.73,2628,35.04,784,10.45,1233,16.44,8375,111.67,171,2.28,1878,25.04,29,0.39,583,7.77,298,3.97,64,0.85,1,0.06,52,3.06,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17
Osaka,476,1.59,12007,61.26,1961,10.01,2565,13.09,28727,146.57,532,2.71,5006,25.54,89,0.45,2172,11.08,1351,6.89,292,1.49,11,0.22,264,5.18,5,0.31,15,0.94,3,0.19,-,-,3,0.19
Hyogo,136,0.69,6149,48.04,871,6.8,1371,10.71,24577,192.01,324,2.53,2990,23.36,78,0.61,1377,10.76,773,6.04,158,1.23,7,0.2,264,7.54,9,0.64,23,1.64,1,0.07,-,-,3,0.21
Nara,21,0.39,1594,48.3,206,6.24,188,5.7,5085,154.09,81,2.45,822,24.91,7,0.21,420,12.73,161,4.88,26,0.79,-,-,81,8.1,3,0.5,2,0.33,1,0.17,-,-,-,-
Wakayama,15,0.31,1034,35.66,220,7.59,241,8.31,3518,121.31,74,2.55,471,16.24,5,0.17,382,13.17,106,3.66,26,0.9,1,0.25,24,6,5,0.5,8,0.8,23,2.3,-,-,1,0.1
Tottori,5,0.18,807,42.47,192,10.11,1317,69.32,2890,152.11,37,1.95,523,27.53,9,0.47,241,12.68,158,8.32,4,0.21,-,-,32,8,4,0.8,7,1.4,-,-,-,-,1,0.2
Shimane,2,0.05,987,44.86,148,6.73,188,8.55,4083,185.59,80,3.64,972,44.18,3,0.14,404,18.36,75,3.41,20,0.91,-,-,3,1,14,1.75,7,0.88,-,-,-,-,1,0.13
Okayama,72,0.86,1123,20.8,289,5.35,277,5.13,9643,178.57,152,2.81,816,15.11,36,0.67,651,12.06,232,4.3,97,1.8,4,0.33,40,3.33,8,1.6,2,0.4,4,0.8,-,-,-,-
Hiroshima,30,0.26,2704,38.08,764,10.76,599,8.44,12693,178.77,156,2.2,2511,35.37,33,0.46,791,11.14,629,8.86,76,1.07,3,0.16,198,10.42,2,0.1,5,0.25,3,0.15,-,-,2,0.1
Yamaguchi,14,0.21,2324,51.64,287,6.38,1029,22.87,7151,158.91,118,2.62,661,14.69,17,0.38,680,15.11,495,11,45,1,-,-,79,8.78,1,0.11,1,0.11,8,0.89,-,-,-,-
Tokushima,3,0.08,1021,44.39,197,8.57,90,3.91,3328,144.7,51,2.22,306,13.3,4,0.17,340,14.78,59,2.57,15,0.65,-,-,7,1.75,4,0.67,4,0.67,2,0.33,-,-,-,-
Kagawa,5,0.11,801,28.61,263,9.39,192,6.86,6136,219.14,90,3.21,309,11.04,16,0.57,479,17.11,61,2.18,50,1.79,1,0.2,24,4.8,1,0.2,2,0.4,1,0.2,-,-,1,0.2
Ehime,34,0.57,2099,58.31,235,6.53,587,16.31,9241,256.69,117,3.25,611,16.97,23,0.64,711,19.75,118,3.28,59,1.64,-,-,235,33.57,1,0.17,1,0.17,1,0.17,-,-,4,0.67
Kochi,18,0.4,900,33.33,289,10.7,267,9.89,2996,110.96,111,4.11,291,10.78,21,0.78,387,14.33,102,3.78,21,0.78,-,-,16,5.33,5,0.63,-,-,7,0.88,-,-,9,1.13
Fukuoka,220,1.12,5832,48.6,1284,10.7,4646,38.72,27129,226.08,476,3.97,2885,24.04,59,0.49,2534,21.12,1216,10.13,192,1.6,5,0.19,135,5.19,6,0.4,16,1.07,2,0.13,-,-,-,-
Saga,18,0.47,1022,46.45,306,13.91,339,15.41,3357,152.59,74,3.36,522,23.73,10,0.45,596,27.09,107,4.86,18,0.82,1,0.25,14,3.5,5,0.83,6,1,3,0.5,-,-,4,0.67
Nagasaki,11,0.16,1394,32.42,368,8.56,2136,49.67,5105,118.72,113,2.63,1448,33.67,30,0.7,613,14.26,166,3.86,44,1.02,11,1.57,85,12.14,13,1.08,5,0.42,4,0.33,-,-,4,0.33
Kumamoto,46,0.59,1222,24.94,328,6.69,332,6.78,10795,220.31,200,4.08,1418,28.94,37,0.76,1193,24.35,458,9.35,40,0.82,-,-,139,15.44,3,0.2,10,0.67,2,0.13,-,-,5,0.33
Oita,24,0.41,1964,54.56,301,8.36,467,12.97,12664,351.78,148,4.11,1368,38,26,0.72,720,20,278,7.72,61,1.69,-,-,43,8.6,1,0.09,1,0.09,10,0.91,-,-,-,-
Miyazaki,20,0.35,2034,56.5,396,11,671,18.64,8595,238.75,157,4.36,1200,33.33,19,0.53,868,24.11,134,3.72,38,1.06,4,0.67,102,17,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,31,0.34,1134,21.4,1030,19.43,661,12.47,12455,235,166,3.13,2934,55.36,26,0.49,879,16.58,502,9.47,89,1.68,-,-,95,13.57,3,0.27,9,0.82,-,-,-,-,4,0.36
Okinawa,295,5.27,857,25.97,209,6.33,757,22.94,2600,78.79,143,4.33,2614,79.21,13,0.39,323,9.79,197,5.97,49,1.48,4,0.44,129,14.33,14,2,39,5.57,3,0.43,-,-,1,0.14
