"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44th week, 2021",,,,,,"Data collected as of November 10, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,829,0.17,219270,69.54,28409,9.01,79183,25.11,376407,119.38,14225,4.51,48079,15.25,1917,0.61,52178,16.55,29266,9.28,6585,2.09,120,0.17,5845,8.42,305,0.64,391,0.82,617,1.29,18,0.04,65,0.14
Hokkaido,54,0.24,9513,68.44,1703,12.25,5598,40.27,7842,56.42,751,5.4,172,1.24,53,0.38,1318,9.48,82,0.59,168,1.21,2,0.07,114,4.07,4,0.18,1,0.05,33,1.5,-,-,3,0.14
Aomori,7,0.11,1326,31.57,285,6.79,438,10.43,4231,100.74,153,3.64,100,2.38,34,0.81,579,13.79,146,3.48,47,1.12,1,0.09,27,2.45,6,1,3,0.5,26,4.33,-,-,-,-
Iwate,3,0.05,1779,44.48,203,5.08,2102,52.55,5042,126.05,217,5.43,1454,36.35,24,0.6,824,20.6,224,5.6,69,1.73,-,-,97,6.93,4,0.21,7,0.37,20,1.05,-,-,4,0.21
Miyagi,12,0.13,5280,91.03,481,8.29,937,16.16,5866,101.14,342,5.9,574,9.9,44,0.76,1203,20.74,175,3.02,139,2.4,1,0.08,71,5.92,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1608,47.29,164,4.82,767,22.56,2143,63.03,190,5.59,33,0.97,21,0.62,337,9.91,70,2.06,16,0.47,3,0.43,27,3.86,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,67,1.49,3034,104.62,451,15.55,1254,43.24,2700,93.1,115,3.97,65,2.24,14,0.48,631,21.76,385,13.28,52,1.79,-,-,51,6.38,2,0.2,-,-,5,0.5,-,-,1,0.1
Fukushima,15,0.18,4704,94.08,670,13.4,1492,29.84,5061,101.22,234,4.68,79,1.58,32,0.64,1240,24.8,203,4.06,107,2.14,1,0.08,155,11.92,7,1,1,0.14,2,0.29,-,-,3,0.43
Ibaraki,18,0.15,2659,35.45,489,6.52,2040,27.2,6106,81.41,261,3.48,178,2.37,34,0.45,825,11,794,10.59,128,1.71,-,-,328,19.29,1,0.08,3,0.25,88,7.33,-,-,1,0.08
Tochigi,10,0.13,2301,47.94,190,3.96,801,16.69,3381,70.44,139,2.9,93,1.94,37,0.77,939,19.56,161,3.35,113,2.35,4,0.33,164,13.67,5,0.71,21,3,16,2.29,-,-,-,-
Gunma,7,0.08,2238,42.23,392,7.4,780,14.72,5966,112.57,167,3.15,82,1.55,28,0.53,934,17.62,331,6.25,127,2.4,1,0.07,219,14.6,4,0.44,3,0.33,6,0.67,-,-,2,0.22
Saitama,29,0.12,8736,54.94,1306,8.21,2838,17.85,21929,137.92,807,5.08,406,2.55,122,0.77,3027,19.04,720,4.53,490,3.08,25,0.64,341,8.74,9,0.82,24,2.18,10,0.91,-,-,3,0.27
Chiba,41,0.2,6385,48.74,560,4.27,2587,19.75,10069,76.86,726,5.54,311,2.37,81,0.62,1958,14.95,553,4.22,339,2.59,4,0.12,296,8.97,7,0.78,14,1.56,13,1.44,-,-,3,0.33
Tokyo,33,0.08,16104,62.66,1330,5.18,3341,13,33454,130.17,1071,4.17,1029,4,224,0.87,4672,18.18,1874,7.29,578,2.25,1,0.03,246,6.65,15,0.63,23,0.96,18,0.75,13,0.54,3,0.13
Kanagawa,31,0.09,11113,49.83,871,3.91,3234,14.5,20708,92.86,962,4.31,636,2.85,132,0.59,3515,15.76,618,2.77,516,2.31,10,0.2,797,15.94,9,0.82,16,1.45,21,1.91,-,-,2,0.18
Niigata,18,0.2,7371,131.63,1173,20.95,3587,64.05,5030,89.82,380,6.79,110,1.96,49,0.88,966,17.25,987,17.63,142,2.54,15,1.5,50,5,10,0.77,7,0.54,23,1.77,-,-,1,0.08
Toyama,5,0.11,3059,109.25,393,14.04,944,33.71,3333,119.04,124,4.43,136,4.86,31,1.11,421,15.04,209,7.46,36,1.29,-,-,5,0.71,3,0.6,2,0.4,12,2.4,-,-,1,0.2
Ishikawa,-,-,3388,116.83,492,16.97,658,22.69,3441,118.66,204,7.03,267,9.21,9,0.31,521,17.97,357,12.31,38,1.31,-,-,19,2.71,1,0.2,1,0.2,18,3.6,-,-,1,0.2
Fukui,-,-,2781,120.91,326,14.17,664,28.87,4171,181.35,113,4.91,50,2.17,6,0.26,407,17.7,249,10.83,26,1.13,-,-,11,3.67,20,3.33,3,0.5,3,0.5,-,-,-,-
Yamanashi,-,-,778,32.42,46,1.92,243,10.13,1954,81.42,60,2.5,21,0.88,20,0.83,233,9.71,17,0.71,45,1.88,1,0.11,48,5.33,2,0.2,5,0.5,4,0.4,-,-,-,-
Nagano,9,0.1,2816,53.13,220,4.15,1016,19.17,6507,122.77,284,5.36,89,1.68,32,0.6,781,14.74,286,5.4,114,2.15,1,0.09,27,2.45,6,0.6,5,0.5,8,0.8,-,-,1,0.1
Gifu,30,0.35,3189,61.33,363,6.98,852,16.38,2977,57.25,82,1.58,76,1.46,23,0.44,561,10.79,635,12.21,55,1.06,1,0.09,53,4.82,1,0.2,-,-,4,0.8,-,-,1,0.2
Shizuoka,13,0.09,7395,84.03,744,8.45,1391,15.81,9092,103.32,337,3.83,131,1.49,55,0.63,1343,15.26,443,5.03,234,2.66,-,-,85,3.86,15,1.5,21,2.1,6,0.6,-,-,-,-
Aichi,32,0.16,8847,48.61,827,4.54,3676,20.2,16425,90.25,467,2.57,232,1.27,52,0.29,2057,11.3,1817,9.98,270,1.48,6,0.17,167,4.77,9,0.6,29,1.93,3,0.2,1,0.07,2,0.13
Mie,26,0.38,5025,114.2,336,7.64,525,11.93,5413,123.02,169,3.84,140,3.18,21,0.48,685,15.57,770,17.5,56,1.27,-,-,17,1.55,3,0.33,3,0.33,26,2.89,-,-,1,0.11
Shiga,27,0.46,1450,41.43,180,5.14,836,23.89,2891,82.6,155,4.43,324,9.26,15,0.43,466,13.31,842,24.06,70,2,-,-,14,1.75,12,1.71,6,0.86,4,0.57,-,-,-,-
Kyoto,70,0.56,3527,46.41,555,7.3,1727,22.72,7292,95.95,284,3.74,1019,13.41,25,0.33,819,10.78,833,10.96,116,1.53,-,-,64,3.76,2,0.29,4,0.57,3,0.43,2,0.29,-,-
Osaka,80,0.27,15707,80.14,1951,9.95,4289,21.88,25221,128.68,807,4.12,4236,21.61,104,0.53,2889,14.74,1740,8.88,433,2.21,12,0.23,244,4.69,10,0.63,12,0.75,4,0.25,-,-,4,0.25
Hyogo,29,0.15,10608,82.88,1165,9.1,2106,16.45,19947,155.84,438,3.42,2836,22.16,66,0.52,1843,14.4,1190,9.3,281,2.2,1,0.03,279,7.97,11,0.79,37,2.64,10,0.71,1,0.07,6,0.43
Nara,1,0.02,3017,88.74,450,13.24,462,13.59,4027,118.44,95,2.79,391,11.5,16,0.47,554,16.29,177,5.21,39,1.15,1,0.1,90,9,9,1.5,4,0.67,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2940,98,197,6.57,660,22,3352,111.73,100,3.33,96,3.2,13,0.43,434,14.47,140,4.67,45,1.5,-,-,24,6,17,1.55,15,1.36,14,1.27,-,-,1,0.09
Tottori,5,0.17,1400,73.68,279,14.68,2217,116.68,3246,170.84,105,5.53,85,4.47,10,0.53,297,15.63,369,19.42,21,1.11,1,0.2,25,5,6,1.2,4,0.8,1,0.2,-,-,-,-
Shimane,14,0.37,1604,69.74,176,7.65,333,14.48,4391,190.91,141,6.13,152,6.61,4,0.17,548,23.83,382,16.61,14,0.61,-,-,11,3.67,14,1.75,9,1.13,5,0.63,-,-,-,-
Okayama,41,0.49,2089,38.69,325,6.02,619,11.46,8050,149.07,195,3.61,1353,25.06,27,0.5,724,13.41,950,17.59,116,2.15,3,0.25,41,3.42,6,1.2,2,0.4,5,1,-,-,1,0.2
Hiroshima,20,0.18,4222,59.46,836,11.77,1018,14.34,12391,174.52,252,3.55,603,8.49,38,0.54,1027,14.46,1081,15.23,164,2.31,8,0.42,241,12.68,8,0.4,3,0.15,12,0.6,1,0.05,4,0.2
Yamaguchi,11,0.17,5906,131.24,267,5.93,1379,30.64,5833,129.62,157,3.49,1696,37.69,37,0.82,984,21.87,674,14.98,89,1.98,-,-,43,4.78,2,0.22,4,0.44,30,3.33,-,-,-,-
Tokushima,3,0.08,2911,126.57,208,9.04,241,10.48,3406,148.09,111,4.83,66,2.87,6,0.26,427,18.57,373,16.22,24,1.04,-,-,12,3,1,0.14,3,0.43,6,0.86,-,-,-,-
Kagawa,3,0.06,2155,76.96,340,12.14,571,20.39,6077,217.04,120,4.29,489,17.46,21,0.75,514,18.36,1116,39.86,78,2.79,2,0.4,19,3.8,2,0.4,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,3154,87.61,305,8.47,1115,30.97,9803,272.31,138,3.83,879,24.42,23,0.64,883,24.53,616,17.11,94,2.61,1,0.13,252,31.5,3,0.5,4,0.67,1,0.17,-,-,2,0.33
Kochi,4,0.09,3209,114.61,226,8.07,407,14.54,4035,144.11,137,4.89,1056,37.71,35,1.25,409,14.61,1050,37.5,28,1,-,-,19,6.33,5,0.63,2,0.25,9,1.13,-,-,4,0.5
Fukuoka,5,0.03,12738,106.15,2222,18.52,9449,78.74,21136,176.13,749,6.24,9642,80.35,88,0.73,3102,25.85,1888,15.73,378,3.15,11,0.42,263,10.12,12,0.86,29,2.07,10,0.71,-,-,-,-
Saga,2,0.05,2275,98.91,428,18.61,819,35.61,1558,67.74,124,5.39,1332,57.91,8,0.35,757,32.91,295,12.83,31,1.35,-,-,16,4,7,1.17,8,1.33,7,1.17,-,-,-,-
Nagasaki,8,0.12,3161,73.51,540,12.56,3046,70.84,3328,77.4,312,7.26,1347,31.33,35,0.81,746,17.35,221,5.14,118,2.74,-,-,32,4,8,0.67,18,1.5,39,3.25,-,-,1,0.08
Kumamoto,3,0.04,3902,78.04,551,11.02,761,15.22,6507,130.14,252,5.04,5217,104.34,65,1.3,1471,29.42,691,13.82,97,1.94,-,-,199,22.11,1,0.07,11,0.73,4,0.27,-,-,1,0.07
Oita,2,0.03,2821,78.36,388,10.78,561,15.58,8865,246.25,342,9.5,2855,79.31,21,0.58,880,24.44,759,21.08,97,2.69,2,0.4,58,11.6,-,-,1,0.09,40,3.64,-,-,-,-
Miyazaki,3,0.05,3944,109.56,640,17.78,1870,51.94,9046,251.28,210,5.83,2591,71.97,28,0.78,1052,29.22,1107,30.75,102,2.83,-,-,154,25.67,-,-,2,0.29,-,-,-,-,-,-
Kagoshima,11,0.12,3698,68.48,1577,29.2,1718,31.81,11021,204.09,383,7.09,3170,58.7,49,0.91,951,17.61,526,9.74,150,2.78,-,-,108,15.43,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,18,0.32,1403,42.52,588,17.82,1214,36.79,2143,64.94,263,7.97,180,5.45,5,0.15,424,12.85,140,4.24,95,2.88,1,0.11,222,24.67,20,2.86,13,1.86,5,0.71,-,-,1,0.14
