"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2020",,,,,,"Data collected as of August 26, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562895,114.2,12598,4,23378,7.42,159570,50.66,297603,94.48,22370,7.1,11410,3.62,17508,5.56,40534,12.87,12382,3.93,5259,1.67,136,0.2,6182,8.92,282,0.59,302,0.63,3017,6.32,52,0.11,216,0.45
Hokkaido,26993,122.7,906,6.61,1235,9.01,7883,57.54,4648,33.93,877,6.4,173,1.26,1434,10.47,1161,8.47,70,0.51,136,0.99,9,0.32,371,13.25,9,0.41,7,0.32,183,8.32,1,0.05,25,1.14
Aomori,5299,81.52,187,4.45,227,5.4,1485,35.36,3969,94.5,235,5.6,289,6.88,371,8.83,516,12.29,20,0.48,37,0.88,1,0.09,77,7,1,0.17,-,-,47,7.83,-,-,2,0.33
Iwate,9107,140.11,188,4.59,302,7.37,3279,79.98,3947,96.27,301,7.34,305,7.44,211,5.15,637,15.54,29,0.71,75,1.83,-,-,136,9.71,3,0.16,2,0.11,66,3.47,-,-,6,0.32
Miyagi,7748,82.43,407,7.02,383,6.6,3402,58.66,4758,82.03,449,7.74,355,6.12,163,2.81,918,15.83,43,0.74,80,1.38,3,0.25,55,4.58,2,0.17,-,-,174,14.5,1,0.08,2,0.17
Akita,7132,134.57,58,1.71,147,4.32,793,23.32,2130,62.65,106,3.12,245,7.21,91,2.68,246,7.24,12,0.35,28,0.82,4,0.67,30,5,1,0.13,-,-,23,2.88,1,0.13,2,0.25
Yamagata,4164,92.53,131,4.52,460,15.86,3028,104.41,2548,87.86,297,10.24,54,1.86,231,7.97,519,17.9,17,0.59,26,0.9,-,-,52,7.43,4,0.4,-,-,28,2.8,1,0.1,1,0.1
Fukushima,10239,123.36,315,6.3,447,8.94,3092,61.84,3580,71.6,377,7.54,119,2.38,610,12.2,955,19.1,39,0.78,80,1.6,-,-,220,16.92,4,0.67,2,0.33,37,6.17,-,-,2,0.33
Ibaraki,11751,97.93,179,2.39,584,7.79,3407,45.43,6412,85.49,598,7.97,135,1.8,252,3.36,621,8.28,68,0.91,88,1.17,2,0.12,362,21.29,-,-,5,0.42,119,9.92,-,-,5,0.42
Tochigi,5941,78.17,164,3.42,114,2.38,1464,30.5,2437,50.77,318,6.63,121,2.52,160,3.33,727,15.15,19,0.4,71,1.48,-,-,64,5.33,1,0.14,5,0.71,61,8.71,3,0.43,2,0.29
Gunma,11040,129.88,112,2.11,397,7.49,1967,37.11,4517,85.23,382,7.21,134,2.53,214,4.04,733,13.83,58,1.09,94,1.77,-,-,171,12.21,6,0.67,4,0.44,84,9.33,2,0.22,1,0.11
