"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2016",,,,,,"Data collected as of April 13, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1508204,304.63,19609,6.21,14755,4.67,122320,38.73,294351,93.21,18153,5.75,1363,0.43,23606,7.47,16900,5.35,549,0.17,650,0.21,36949,11.7,114,0.17,6017,8.75,111,0.23,237,0.5,3514,7.41,128,0.27,2919,6.16
Hokkaido,77029,342.35,793,5.58,637,4.49,10091,71.06,5900,41.55,765,5.39,108,0.76,1958,13.79,497,3.5,17,0.12,20,0.14,2971,20.92,-,-,114,4.07,2,0.09,4,0.17,92,4,3,0.13,159,6.91
Aomori,14819,227.98,85,2.02,181,4.31,996,23.71,2112,50.29,121,2.88,14,0.33,187,4.45,202,4.81,-,-,5,0.12,397,9.45,1,0.09,81,7.36,7,1.17,7,1.17,65,10.83,-,-,40,6.67
Iwate,18037,281.83,151,3.78,84,2.1,2649,66.23,3922,98.05,139,3.48,10,0.25,134,3.35,188,4.7,6,0.15,2,0.05,180,4.5,2,0.14,84,6,1,0.05,2,0.11,97,5.11,1,0.05,41,2.16
Miyagi,25111,264.33,236,4,181,3.07,3811,64.59,5700,96.61,408,6.92,6,0.1,161,2.73,371,6.29,6,0.1,3,0.05,331,5.61,-,-,37,3.08,4,0.33,-,-,102,8.5,-,-,8,0.67
Akita,11308,209.41,53,1.51,107,3.06,716,20.46,2151,61.46,104,2.97,10,0.29,1048,29.94,93,2.66,11,0.31,3,0.09,55,1.57,1,0.14,24,3.43,-,-,-,-,57,7.13,-,-,90,11.25
Yamagata,12359,262.96,37,1.28,168,5.79,2776,95.72,3570,123.1,204,7.03,11,0.38,935,32.24,249,8.59,3,0.1,-,-,831,28.66,-,-,11,1.38,-,-,4,0.4,35,3.5,4,0.4,5,0.5
Fukushima,20121,261.31,249,5.41,206,4.48,1373,29.85,2883,62.67,281,6.11,12,0.26,385,8.37,345,7.5,10,0.22,3,0.07,131,2.85,-,-,120,10,2,0.29,3,0.43,25,3.57,-,-,5,0.71
Ibaraki,31854,265.45,178,2.37,248,3.31,2095,27.93,7306,97.41,407,5.43,38,0.51,365,4.87,252,3.36,4,0.05,11,0.15,991,13.21,-,-,226,13.29,-,-,3,0.23,90,6.92,-,-,9,0.69
