"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2020",,,,,,"Data collected as of June 3, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562817,114.14,12010,3.81,17548,5.57,131855,41.86,227706,72.29,18416,5.85,6437,2.04,16817,5.34,20947,6.65,1447,0.46,3205,1.02,95,0.14,4604,6.64,184,0.39,182,0.38,2642,5.54,36,0.08,199,0.42
Hokkaido,26988,122.67,882,6.44,870,6.35,6627,48.37,3562,26,720,5.26,68,0.5,1413,10.31,586,4.28,33,0.24,76,0.55,7,0.25,303,10.82,6,0.27,5,0.23,160,7.27,1,0.05,22,1
Aomori,5298,81.51,186,4.43,143,3.4,1315,31.31,3231,76.93,191,4.55,248,5.9,352,8.38,301,7.17,4,0.1,22,0.52,1,0.09,58,5.27,-,-,-,-,35,5.83,-,-,2,0.33
Iwate,9106,137.97,168,4.1,168,4.1,2614,63.76,2795,68.17,212,5.17,223,5.44,207,5.05,310,7.56,10,0.24,45,1.1,-,-,93,6.64,2,0.11,1,0.05,48,2.53,-,-,5,0.26
Miyagi,7747,82.41,399,6.88,316,5.45,3060,52.76,3890,67.07,394,6.79,253,4.36,152,2.62,454,7.83,9,0.16,51,0.88,1,0.08,39,3.25,2,0.17,-,-,134,11.17,1,0.08,2,0.17
Akita,7132,134.57,57,1.68,86,2.53,592,17.41,1733,50.97,72,2.12,162,4.76,84,2.47,136,4,4,0.12,17,0.5,4,0.67,20,3.33,1,0.13,-,-,18,2.25,1,0.13,2,0.25
Yamagata,4164,92.53,125,4.31,312,10.76,2470,85.17,2018,69.59,273,9.41,20,0.69,209,7.21,298,10.28,13,0.45,18,0.62,-,-,44,6.29,3,0.3,-,-,27,2.7,1,0.1,1,0.1
Fukushima,10235,123.31,313,6.26,300,6,2537,50.74,2953,59.06,316,6.32,73,1.46,598,11.96,486,9.72,9,0.18,38,0.76,-,-,169,13,3,0.5,-,-,36,6,-,-,2,0.33
Ibaraki,11749,97.91,171,2.28,436,5.81,2755,36.73,4995,66.6,500,6.67,51,0.68,246,3.28,297,3.96,15,0.2,58,0.77,1,0.06,237,13.94,-,-,3,0.25,112,9.33,-,-,5,0.42
