"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2017",,,,,,"Data collected as of August 9, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1363666,275.49,35098,11.1,54767,17.32,239078,75.61,571459,180.73,36321,11.49,186827,59.09,8220,2.6,45677,14.45,935,0.3,47759,15.1,56062,17.73,282,0.41,14116,20.31,304,0.64,540,1.13,4772,10,156,0.33,4830,10.13
Hokkaido,49326,220.21,3410,24.18,4862,34.48,16194,114.85,12765,90.53,1945,13.79,7454,52.87,214,1.52,1251,8.87,51,0.36,1626,11.53,1584,11.23,9,0.32,326,11.64,6,0.26,15,0.65,153,6.65,-,-,200,8.7
Aomori,15396,240.56,267,6.51,450,10.98,2343,57.15,6007,146.51,313,7.63,1156,28.2,182,4.44,590,14.39,2,0.05,329,8.02,494,12.05,2,0.18,85,7.73,9,1.5,4,0.67,128,21.33,-,-,72,12
Iwate,14536,227.13,402,10.31,948,24.31,3507,89.92,6559,168.18,273,7,483,12.38,159,4.08,569,14.59,2,0.05,155,3.97,1030,26.41,5,0.36,139,9.93,5,0.26,2,0.11,181,9.53,4,0.21,107,5.63
Miyagi,27049,284.73,811,13.75,1292,21.9,5212,88.34,9600,162.71,757,12.83,1710,28.98,115,1.95,1051,17.81,10,0.17,315,5.34,405,6.86,-,-,88,7.33,2,0.17,1,0.08,152,12.67,-,-,51,4.25
Akita,13134,247.81,131,3.85,265,7.79,1576,46.35,3626,106.65,378,11.12,1325,38.97,43,1.26,262,7.71,14,0.41,150,4.41,106,3.12,8,1.14,37,5.29,1,0.13,-,-,182,22.75,2,0.25,56,7
Yamagata,11417,242.91,225,7.76,543,18.72,4930,170,5122,176.62,420,14.48,1255,43.28,439,15.14,610,21.03,17,0.59,461,15.9,464,16,-,-,58,7.25,2,0.2,7,0.7,122,12.2,-,-,78,7.8
Fukushima,23763,308.61,999,21.72,558,12.13,3770,81.96,5970,129.78,736,16,481,10.46,296,6.43,930,20.22,9,0.2,226,4.91,524,11.39,1,0.08,323,26.92,5,0.71,15,2.14,78,11.14,4,0.57,218,31.14
Ibaraki,30885,257.38,366,4.88,1016,13.55,6181,82.41,10881,145.08,800,10.67,1351,18.01,144,1.92,676,9.01,19,0.25,416,5.55,522,6.96,6,0.35,538,31.65,2,0.15,-,-,77,5.92,-,-,122,9.38
Tochigi,17674,232.55,239,4.98,626,13.04,2116,44.08,4164,86.75,549,11.44,1038,21.63,65,1.35,744,15.5,2,0.04,223,4.65,385,8.02,-,-,344,28.67,3,0.43,5,0.71,80,11.43,2,0.29,89,12.71
Gunma,23695,252.07,267,4.68,703,12.33,5317,93.28,11091,194.58,482,8.46,2086,36.6,304,5.33,853,14.96,2,0.04,860,15.09,1314,23.05,2,0.15,301,23.15,1,0.13,5,0.63,170,21.25,-,-,314,39.25
Saitama,84852,336.71,1493,9.33,3096,19.35,15248,95.3,32423,202.64,2295,14.34,6757,42.23,491,3.07,2696,16.85,24,0.15,1795,11.22,2279,14.24,49,1.23,955,23.88,8,0.8,17,1.7,86,8.6,10,1,111,11.1
Chiba,68560,320.37,827,6.17,2163,16.14,13539,101.04,22335,166.68,1643,12.26,4354,32.49,267,1.99,1924,14.36,36,0.27,2661,19.86,1126,8.4,21,0.62,912,26.82,15,1.67,20,2.22,123,13.67,1,0.11,101,11.22
Tokyo,107575,260.47,2621,10.04,4398,16.85,18711,71.69,53073,203.34,2974,11.39,13683,52.43,878,3.36,4408,16.89,59,0.23,3090,11.84,2087,8,6,0.16,652,17.16,23,0.92,23,0.92,139,5.56,31,1.24,229,9.16
Kanagawa,97686,283.97,2259,10.51,2638,12.27,15661,72.84,38151,177.45,3017,14.03,11013,51.22,509,2.37,3407,15.85,26,0.12,2882,13.4,3024,14.07,27,0.53,2286,44.82,6,0.6,19,1.9,72,7.2,-,-,213,21.3
Niigata,26017,289.08,940,16.49,1361,23.88,4607,80.82,11489,201.56,622,10.91,4406,77.3,221,3.88,760,13.33,35,0.61,621,10.89,3306,58,12,1.2,241,24.1,6,0.46,9,0.69,149,11.46,22,1.69,79,6.08
Toyama,10671,222.31,519,17.9,505,17.41,1629,56.17,5948,205.1,249,8.59,1923,66.31,23,0.79,345,11.9,2,0.07,271,9.34,1038,35.79,5,0.71,238,34,2,0.4,4,0.8,48,9.6,2,0.4,58,11.6
Ishikawa,15982,332.96,210,7.24,644,22.21,2290,78.97,7398,255.1,373,12.86,2401,82.79,85,2.93,392,13.52,6,0.21,321,11.07,155,5.34,-,-,109,15.57,1,0.2,8,1.6,96,19.2,-,-,86,17.2
Fukui,11645,363.91,115,5.23,353,16.05,1757,79.86,6023,273.77,259,11.77,2257,102.59,16,0.73,237,10.77,13,0.59,273,12.41,259,11.77,-,-,11,3.67,13,2.17,6,1,50,8.33,2,0.33,70,11.67
Yamanashi,10611,258.8,33,1.38,735,30.63,1955,81.46,4031,167.96,170,7.08,1316,54.83,49,2.04,223,9.29,2,0.08,185,7.71,476,19.83,1,0.11,224,24.89,4,0.4,7,0.7,104,10.4,2,0.2,55,5.5
Nagano,27779,323.01,276,5.21,267,5.04,3843,72.51,11460,216.23,586,11.06,1772,33.43,143,2.7,530,10,24,0.45,501,9.45,3289,62.06,9,0.9,111,11.1,2,0.18,2,0.18,144,13.09,-,-,141,12.82
Gifu,22504,261.67,270,5.19,622,11.96,1760,33.85,5948,114.38,352,6.77,2197,42.25,52,1,472,9.08,12,0.23,367,7.06,1165,22.4,-,-,131,11.91,1,0.2,10,2,121,24.2,-,-,89,17.8
Shizuoka,38739,278.7,525,5.9,1229,13.81,7600,85.39,16319,183.36,761,8.55,4654,52.29,214,2.4,1018,11.44,15,0.17,649,7.29,1137,12.78,10,0.48,349,16.62,10,1,25,2.5,115,11.5,33,3.3,74,7.4
Aichi,65907,337.98,1288,7.08,2285,12.55,10091,55.45,26293,144.47,1757,9.65,10900,59.89,269,1.48,1951,10.72,26,0.14,1619,8.9,1709,9.39,6,0.17,457,13.06,10,0.67,20,1.33,222,14.8,6,0.4,196,13.07
Mie,19244,267.28,561,12.47,1089,24.2,2278,50.62,7694,170.98,429,9.53,4022,89.38,96,2.13,683,15.18,16,0.36,1019,22.64,487,10.82,6,0.5,39,3.25,17,1.89,19,2.11,83,9.22,10,1.11,19,2.11
Shiga,12062,231.96,184,5.94,421,13.58,1159,37.39,5501,177.45,462,14.9,2982,96.19,17,0.55,387,12.48,5,0.16,637,20.55,579,18.68,1,0.13,45,5.63,5,0.71,12,1.71,40,5.71,1,0.14,16,2.29
Kyoto,27839,224.51,291,3.88,1200,16,3732,49.76,12379,165.05,489,6.52,4592,61.23,73,0.97,800,10.67,16,0.21,693,9.24,916,12.21,3,0.18,189,11.12,3,0.43,4,0.57,50,7.14,-,-,67,9.57
Osaka,67275,219.14,3125,15.7,3542,17.8,13974,70.22,35708,179.44,2381,11.96,17708,88.98,275,1.38,2908,14.61,67,0.34,3114,15.65,3986,20.03,29,0.56,573,11.02,14,0.88,24,1.5,213,13.31,2,0.13,230,14.38
Hyogo,45014,227.34,1204,9.41,2704,21.13,6214,48.55,27637,215.91,1324,10.34,12208,95.38,467,3.65,1586,12.39,34,0.27,2187,17.09,2728,21.31,10,0.29,504,14.4,19,1.46,25,1.92,117,9,4,0.31,158,12.15
Nara,10263,190.06,586,17.24,845,24.85,2367,69.62,4967,146.09,347,10.21,2060,60.59,68,2,494,14.53,8,0.24,357,10.5,707,20.79,1,0.1,168,16.8,10,1.67,20,3.33,91,15.17,1,0.17,52,8.67
Wakayama,8421,171.86,411,13.7,335,11.17,716,23.87,4184,139.47,299,9.97,1984,66.13,31,1.03,391,13.03,9,0.3,382,12.73,1570,52.33,12,3,71,17.75,3,0.27,18,1.64,64,5.82,5,0.45,67,6.09
Tottori,5980,206.21,192,10.11,318,16.74,3604,189.68,3090,162.63,322,16.95,1547,81.42,29,1.53,225,11.84,16,0.84,490,25.79,767,40.37,2,0.4,123,24.6,6,1.2,21,4.2,43,8.6,-,-,74,14.8
Shimane,7279,191.55,76,3.3,296,12.87,1940,84.35,3844,167.13,184,8,1038,45.13,212,9.22,451,19.61,9,0.39,262,11.39,978,42.52,-,-,1,0.33,1,0.13,11,1.38,56,7,-,-,47,5.88
Okayama,22065,262.68,193,3.57,750,13.89,1833,33.94,9950,184.26,449,8.31,3517,65.13,80,1.48,712,13.19,10,0.19,821,15.2,611,11.31,10,0.83,282,23.5,2,0.4,4,0.8,44,8.8,1,0.2,36,7.2
Hiroshima,26941,236.32,620,8.73,1371,19.31,5333,75.11,11574,163.01,691,9.73,5668,79.83,206,2.9,869,12.24,34,0.48,658,9.27,810,11.41,5,0.26,494,26,5,0.25,2,0.1,109,5.45,1,0.05,108,5.4
Yamaguchi,19653,289.01,773,16.1,762,15.88,3445,71.77,6716,139.92,400,8.33,3600,75,131,2.73,806,16.79,24,0.5,1714,35.71,2388,49.75,-,-,211,23.44,5,0.56,2,0.22,103,11.44,1,0.11,88,9.78
Tokushima,8446,228.27,335,14.57,397,17.26,1447,62.91,4085,177.61,144,6.26,1070,46.52,74,3.22,482,20.96,7,0.3,495,21.52,535,23.26,1,0.25,19,4.75,-,-,1,0.17,10,1.67,-,-,12,2
Kagawa,9071,193,277,9.89,479,17.11,1964,70.14,6939,247.82,183,6.54,2514,89.79,59,2.11,435,15.54,14,0.5,579,20.68,793,28.32,2,0.4,66,13.2,3,0.6,5,1,66,13.2,-,-,154,30.8
Ehime,16508,270.62,458,12.38,453,12.24,3316,89.62,9344,252.54,354,9.57,3100,83.78,247,6.68,755,20.41,9,0.24,474,12.81,1931,52.19,-,-,432,54,2,0.33,1,0.17,50,8.33,-,-,31,5.17
Kochi,14632,304.83,269,8.97,255,8.5,1787,59.57,3796,126.53,403,13.43,2874,95.8,104,3.47,350,11.67,20,0.67,417,13.9,163,5.43,-,-,11,3.67,2,0.25,7,0.88,69,8.63,6,0.75,86,10.75
Fukuoka,72099,364.14,2054,17.12,2106,17.55,13898,115.82,30869,257.24,2033,16.94,9401,78.34,273,2.28,2492,20.77,84,0.7,5871,48.93,2499,20.83,-,-,482,18.54,27,1.8,24,1.6,312,20.8,-,-,52,3.47
