"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2016",,,,,,"Data collected as of November 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,33277,386.94,769,14.51,431,8.13,5415,102.17,12138,229.02,702,13.25,682,12.87,1133,21.38,863,16.28,116,2.19,2734,51.58,2458,46.38,2,0.18,380,34.55,3,0.27,4,0.36,318,28.91,-,-,122,11.09
Gifu,31232,363.16,609,11.71,596,11.46,2718,52.27,7174,137.96,436,8.38,773,14.87,356,6.85,669,12.87,34,0.65,1108,21.31,1169,22.48,2,0.18,233,21.18,1,0.2,23,4.6,447,89.4,-,-,76,15.2
Shizuoka,43624,313.84,1659,18.64,1409,15.83,12845,144.33,18512,208,1128,12.67,1087,12.21,760,8.54,1567,17.61,40,0.45,3677,41.31,3143,35.31,8,0.38,424,20.19,6,0.6,26,2.6,460,46,41,4.1,22,2.2
Aichi,85628,439.12,3035,16.77,2257,12.47,14372,79.4,32527,179.71,2207,12.19,1773,9.8,2723,15.04,2940,16.24,92,0.51,5535,30.58,4484,24.77,11,0.32,990,29.12,30,2.14,46,3.29,621,44.36,4,0.29,360,25.71
Mie,23472,326,1231,27.36,955,21.22,2631,58.47,11143,247.62,523,11.62,295,6.56,1364,30.31,965,21.44,34,0.76,2322,51.6,546,12.13,10,0.83,83,6.92,13,1.44,31,3.44,219,24.33,17,1.89,21,2.33
Shiga,15432,296.77,334,10.77,392,12.65,1879,60.61,7730,249.35,625,20.16,485,15.65,224,7.23,535,17.26,11,0.35,1536,49.55,986,31.81,-,-,64,8,9,1.29,15,2.14,89,12.71,-,-,98,14
Kyoto,33899,275.6,866,11.55,1018,13.57,4164,55.52,17385,231.8,987,13.16,1629,21.72,754,10.05,1040,13.87,21,0.28,1885,25.13,3095,41.27,3,0.18,174,10.24,1,0.14,14,2,170,24.29,1,0.14,122,17.43
Osaka,90391,294.43,5700,28.5,4184,20.92,17930,89.65,49309,246.55,3266,16.33,1984,9.92,1904,9.52,4117,20.59,144,0.72,8419,42.1,11675,58.38,27,0.53,1196,23.45,29,1.71,51,3,880,51.76,4,0.24,403,23.71
Hyogo,62200,314.14,2516,19.66,2595,20.27,8651,67.59,34582,270.17,2206,17.23,1097,8.57,1597,12.48,2280,17.81,91,0.71,4151,32.43,6221,48.6,13,0.38,577,16.97,17,1.55,32,2.91,364,33.09,1,0.09,185,16.82
Nara,15297,283.28,836,24.59,617,18.15,2353,69.21,6699,197.03,407,11.97,245,7.21,820,24.12,769,22.62,10,0.29,1070,31.47,2063,60.68,4,0.44,266,29.56,14,2.33,11,1.83,241,40.17,1,0.17,99,16.5
Wakayama,11540,230.8,690,22.26,519,16.74,861,27.77,4228,136.39,382,12.32,100,3.23,792,25.55,617,19.9,16,0.52,1332,42.97,1391,44.87,5,1.25,45,11.25,3,0.27,26,2.36,149,13.55,4,0.36,96,8.73
Tottori,7802,269.03,381,20.05,533,28.05,3852,202.74,4692,246.95,198,10.42,205,10.79,571,30.05,379,19.95,18,0.95,861,45.32,406,21.37,12,3,231,57.75,5,1,12,2.4,150,30,2,0.4,135,27
Shimane,7722,203.21,714,31.04,1089,47.35,2316,100.7,7891,343.09,235,10.22,391,17,621,27,625,27.17,13,0.57,517,22.48,882,38.35,-,-,71,23.67,2,0.25,38,4.75,168,21,2,0.25,236,29.5
Okayama,22452,267.29,911,16.87,657,12.17,2351,43.54,13322,246.7,622,11.52,535,9.91,664,12.3,865,16.02,19,0.35,1671,30.94,2815,52.13,7,0.58,169,14.08,5,1,16,3.2,52,10.4,1,0.2,25,5
Hiroshima,35649,312.71,1664,23.44,1859,26.18,6030,84.93,20035,282.18,1089,15.34,547,7.7,1772,24.96,1298,18.28,106,1.49,1589,22.38,2163,30.46,8,0.44,651,36.17,8,0.38,10,0.48,353,16.81,3,0.14,381,18.14
Yamaguchi,24773,364.31,1806,37.63,737,15.35,5655,117.81,11454,238.63,518,10.79,353,7.35,1391,28.98,1100,22.92,33,0.69,1302,27.13,1470,30.63,2,0.22,168,18.67,8,0.89,4,0.44,296,32.89,-,-,109,12.11
Tokushima,9425,254.73,1257,54.65,385,16.74,1047,45.52,7041,306.13,235,10.22,217,9.43,257,11.17,677,29.43,25,1.09,858,37.3,1129,49.09,1,0.25,22,5.5,1,0.14,2,0.29,51,7.29,-,-,58,8.29
Kagawa,13134,279.45,574,20.5,652,23.29,1922,68.64,7998,285.64,307,10.96,365,13.04,534,19.07,589,21.04,36,1.29,1167,41.68,1035,36.96,4,0.8,79,15.8,4,0.8,10,2,205,41,2,0.4,151,30.2
Ehime,21208,347.67,1108,29.95,567,15.32,4531,122.46,12452,336.54,525,14.19,734,19.84,825,22.3,1034,27.95,32,0.86,1887,51,729,19.7,5,0.63,680,85,3,0.5,4,0.67,128,21.33,-,-,80,13.33
Kochi,14829,308.94,895,29.83,560,18.67,2113,70.43,5510,183.67,351,11.7,326,10.87,300,10,446,14.87,108,3.6,750,25,804,26.8,-,-,17,5.67,10,1.25,34,4.25,262,32.75,28,3.5,237,29.63
Fukuoka,82620,417.27,4938,41.15,3590,29.92,15232,126.93,36875,307.29,2454,20.45,2218,18.48,2012,16.77,3656,30.47,151,1.26,3351,27.93,6841,57.01,19,0.73,1219,46.88,27,1.93,121,8.64,1136,81.14,1,0.07,27,1.93
Saga,12598,323.03,634,27.57,742,32.26,1717,74.65,3530,153.48,306,13.3,238,10.35,366,15.91,765,33.26,20,0.87,635,27.61,2168,94.26,-,-,145,36.25,2,0.33,15,2.5,165,27.5,-,-,61,10.17
Nagasaki,24020,348.12,1081,24.57,776,17.64,3682,83.68,7569,172.02,675,15.34,417,9.48,410,9.32,852,19.36,10,0.23,519,11.8,2099,47.7,4,0.5,775,96.88,3,0.25,53,4.42,378,31.5,-,-,53,4.42
Kumamoto,22812,288.76,1866,38.08,815,16.63,2846,58.08,16979,346.51,593,12.1,1223,24.96,1421,29,1523,31.08,17,0.35,1773,36.18,3792,77.39,3,0.33,772,85.78,10,0.67,81,5.4,314,20.93,2,0.13,176,11.73
Oita,19726,340.1,1151,31.97,761,21.14,5081,141.14,16313,453.14,902,25.06,401,11.14,689,19.14,1174,32.61,53,1.47,1748,48.56,701,19.47,4,0.8,135,27,-,-,2,0.18,282,25.64,2,0.18,20,1.82
Miyazaki,21050,356.78,1827,50.75,873,24.25,3412,94.78,12904,358.44,609,16.92,1474,40.94,1411,39.19,1400,38.89,16,0.44,1692,47,4124,114.56,8,1.6,794,158.8,2,0.29,28,4,250,35.71,-,-,84,12
Kagoshima,35506,381.78,1986,36.11,1789,32.53,6170,112.18,17356,315.56,1210,22,3058,55.6,888,16.15,1062,19.31,45,0.82,1376,25.02,4303,78.24,-,-,473,67.57,4,0.33,17,1.42,214,17.83,-,-,126,10.5
Okinawa,29006,500.1,1636,48.12,859,25.26,1324,38.94,5556,163.41,660,19.41,2572,75.65,132,3.88,412,12.12,203,5.97,349,10.26,2039,59.97,18,2,452,50.22,37,5.29,79,11.29,408,58.29,2,0.29,75,10.71
