"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2015",,,,,,"Data collected as of March 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1035316,210.47,20363,6.49,9061,2.89,73250,23.36,227306,72.48,17808,5.68,9553,3.05,10941,3.49,12572,4.01,262,0.08,571,0.18,8728,2.78,80,0.12,2852,4.18,70,0.15,121,0.26,1046,2.21,57,0.12,975,2.06
Hokkaido,34694,152.84,1281,8.96,914,6.39,4296,30.04,4093,28.62,756,5.29,475,3.32,505,3.53,414,2.9,7,0.05,17,0.12,514,3.59,4,0.15,99,3.67,-,-,1,0.05,23,1.05,1,0.05,25,1.14
Aomori,13672,210.34,194,4.62,77,1.83,437,10.4,1912,45.52,187,4.45,16,0.38,215,5.12,135,3.21,-,-,5,0.12,24,0.57,-,-,65,5.91,2,0.33,3,0.5,22,3.67,-,-,43,7.17
Iwate,13357,205.49,197,4.93,78,1.95,1123,28.08,3120,78,250,6.25,9,0.23,173,4.33,153,3.83,-,-,7,0.18,41,1.03,-,-,49,3.5,1,0.05,1,0.05,55,2.89,2,0.11,78,4.11
Miyagi,17531,188.51,286,4.93,123,2.12,1475,25.43,6329,109.12,432,7.45,80,1.38,554,9.55,252,4.34,-,-,9,0.16,71,1.22,-,-,22,1.83,1,0.08,3,0.25,74,6.17,-,-,22,1.83
Akita,11506,213.07,96,2.74,71,2.03,376,10.74,2039,58.26,171,4.89,10,0.29,11,0.31,63,1.8,1,0.03,-,-,132,3.77,6,0.86,17,2.43,-,-,-,-,41,5.13,-,-,4,0.5
Yamagata,7925,168.62,85,2.93,207,7.14,1385,47.76,2811,96.93,243,8.38,370,12.76,89,3.07,142,4.9,2,0.07,1,0.03,159,5.48,-,-,13,1.86,-,-,4,0.4,12,1.2,3,0.3,3,0.3
Fukushima,16325,214.8,522,11.6,134,2.98,958,21.29,3538,78.62,242,5.38,114,2.53,174,3.87,194,4.31,6,0.13,1,0.02,241,5.36,-,-,77,6.42,-,-,3,0.43,43,6.14,1,0.14,46,6.57
Ibaraki,21011,175.09,349,4.65,172,2.29,1719,22.92,5940,79.2,410,5.47,140,1.87,160,2.13,197,2.63,2,0.03,8,0.11,130,1.73,-,-,135,7.94,-,-,-,-,12,0.92,-,-,13,1
Tochigi,12942,170.29,227,4.73,70,1.46,639,13.31,2335,48.65,199,4.15,93,1.94,173,3.6,223,4.65,9,0.19,1,0.02,63,1.31,3,0.25,53,4.42,1,0.14,1,0.14,19,2.71,-,-,27,3.86
Gunma,17565,184.89,379,6.53,137,2.36,1556,26.83,4102,70.72,209,3.6,176,3.03,129,2.22,226,3.9,6,0.1,14,0.24,125,2.16,-,-,143,11,2,0.25,3,0.38,23,2.88,-,-,42,5.25
Saitama,37626,157.43,741,4.91,403,2.67,4076,26.99,12605,83.48,931,6.17,183,1.21,967,6.4,721,4.77,7,0.05,18,0.12,534,3.54,7,0.18,138,3.45,1,0.1,6,0.6,33,3.3,2,0.2,31,3.1
Chiba,42846,203.06,352,2.67,323,2.45,3279,24.84,9588,72.64,664,5.03,114,0.86,740,5.61,463,3.51,7,0.05,6,0.05,441,3.34,-,-,178,5.39,5,0.56,7,0.78,6,0.67,6,0.67,17,1.89
Tokyo,52397,128.42,966,3.77,486,1.9,6105,23.85,20322,79.38,1181,4.61,251,0.98,1862,7.27,1081,4.22,34,0.13,28,0.11,539,2.11,3,0.08,118,3.11,7,0.28,15,0.6,48,1.92,6,0.24,34,1.36
Kanagawa,49924,152.67,696,3.43,289,1.42,4335,21.35,15305,75.39,1383,6.81,208,1.02,1733,8.54,942,4.64,12,0.06,17,0.08,286,1.41,12,0.27,310,6.89,4,0.4,4,0.4,21,2.1,-,-,31,3.1
Niigata,23194,241.6,369,6.05,492,8.07,2286,37.48,3767,61.75,557,9.13,115,1.89,314,5.15,277,4.54,5,0.08,27,0.44,101,1.66,4,0.4,43,4.3,-,-,-,-,29,2.23,14,1.08,6,0.46
Toyama,9728,202.67,107,3.69,195,6.72,764,26.34,2543,87.69,237,8.17,84,2.9,27,0.93,86,2.97,1,0.03,31,1.07,64,2.21,-,-,7,1,-,-,-,-,67,13.4,-,-,4,0.8
Ishikawa,11739,244.56,94,3.24,110,3.79,1519,52.38,2271,78.31,273,9.41,7,0.24,253,8.72,108,3.72,1,0.03,-,-,101,3.48,-,-,14,2,-,-,-,-,48,9.6,-,-,9,1.8
Fukui,9940,310.63,175,7.95,96,4.36,649,29.5,2643,120.14,137,6.23,134,6.09,13,0.59,101,4.59,-,-,3,0.14,175,7.95,-,-,7,2.33,4,0.67,-,-,2,0.33,-,-,5,0.83
Yamanashi,7813,195.33,86,3.58,25,1.04,375,15.63,1597,66.54,61,2.54,3,0.13,9,0.38,45,1.88,-,-,-,-,9,0.38,-,-,22,2.44,-,-,-,-,8,0.8,-,-,14,1.4
Nagano,19713,229.22,315,5.94,62,1.17,1161,21.91,4111,77.57,247,4.66,68,1.28,115,2.17,145,2.74,5,0.09,5,0.09,8,0.15,-,-,39,3.9,-,-,2,0.18,54,4.91,-,-,20,1.82
Gifu,20336,236.47,223,4.29,144,2.77,418,8.04,2791,53.67,160,3.08,56,1.08,33,0.63,155,2.98,-,-,7,0.13,26,0.5,-,-,27,2.45,-,-,-,-,9,1.8,-,-,5,1
