"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2020",,,,,,"Data collected as of December 23, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,563347,114.2,17388,5.51,33667,10.67,196725,62.37,405528,128.58,30894,9.8,17964,5.7,18202,5.77,63854,20.25,24945,7.91,7906,2.51,179,0.26,8881,12.8,391,0.82,449,0.94,3483,7.29,57,0.12,241,0.5
Hokkaido,27011,122.22,932,6.75,1975,14.31,10336,74.9,6359,46.08,1287,9.33,238,1.72,1449,10.5,1797,13.02,286,2.07,198,1.43,9,0.32,468,16.71,9,0.41,9,0.41,222,10.09,1,0.05,30,1.36
Aomori,5301,81.55,190,4.52,360,8.57,1712,40.76,4948,117.81,321,7.64,311,7.4,376,8.95,747,17.79,43,1.02,53,1.26,1,0.09,111,10.09,3,0.5,2,0.33,60,10,-,-,2,0.33
Iwate,9109,140.14,414,10.35,391,9.78,4198,104.95,5446,136.15,417,10.43,361,9.03,224,5.6,991,24.78,61,1.53,101,2.53,-,-,191,13.64,5,0.26,3,0.16,85,4.47,-,-,6,0.32
Miyagi,7749,82.44,431,7.43,569,9.81,3806,65.62,6103,105.22,569,9.81,390,6.72,178,3.07,1438,24.79,66,1.14,135,2.33,3,0.25,82,6.83,4,0.33,1,0.08,230,19.17,1,0.08,2,0.17
Akita,7134,134.6,58,1.71,209,6.15,1074,31.59,2726,80.18,275,8.09,286,8.41,98,2.88,391,11.5,35,1.03,46,1.35,4,0.67,41,6.83,1,0.13,-,-,28,3.5,1,0.13,2,0.25
Yamagata,4164,92.53,133,4.59,578,19.93,3578,123.38,4943,170.45,362,12.48,105,3.62,239,8.24,819,28.24,821,28.31,40,1.38,1,0.14,75,10.71,6,0.6,-,-,31,3.1,1,0.1,1,0.1
Fukushima,10248,123.47,355,7.1,676,13.52,4042,80.84,4659,93.18,575,11.5,260,5.2,624,12.48,1518,30.36,298,5.96,118,2.36,-,-,281,21.62,7,1.17,4,0.67,38,6.33,-,-,3,0.5
Ibaraki,11754,97.95,186,2.48,771,10.28,4349,57.99,8245,109.93,728,9.71,228,3.04,269,3.59,950,12.67,169,2.25,135,1.8,2,0.12,494,29.06,-,-,8,0.67,133,11.08,-,-,5,0.42
Tochigi,5948,78.26,168,3.5,197,4.1,1774,36.96,3109,64.77,427,8.9,154,3.21,168,3.5,1102,22.96,94,1.96,119,2.48,-,-,109,9.08,3,0.43,8,1.14,76,10.86,4,0.57,2,0.29
Gunma,11045,128.43,113,2.13,547,10.32,2389,45.08,6116,115.4,561,10.58,162,3.06,236,4.45,1153,21.75,96,1.81,149,2.81,1,0.07,254,18.14,11,1.22,4,0.44,87,9.67,2,0.22,1,0.11
Saitama,29324,116.37,556,3.5,1629,10.25,9668,60.81,24391,153.4,2085,13.11,778,4.89,561,3.53,3601,22.65,406,2.55,558,3.51,39,1,549,14.08,11,1,22,2,87,7.91,-,-,1,0.09
